Spring 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,875",-6.8%,,,,,,,"2,875",-6.8%,
Gender,Female,"1,299",-5.3%,,,,,,,"1,299",-5.3%,
,Male,"1,576",-8.1%,,,,,,,"1,576",-8.1%,
Ethnicity,White,"2,309",-7.8%,,,,,,,"2,309",-7.8%,
,Black,91,-20.2%,,,,,,,91,-20.2%,
,Hispanic,355,10.2%,,,,,,,355,10.2%,
,Asian,78,-7.1%,,,,,,,78,-7.1%,
,American Indian,11,-50.0%,,,,,,,11,-50.0%,
,International,19,11.8%,,,,,,,19,11.8%,
,Unknown/Other,12,-50.0%,,,,,,,12,-50.0%,
TAMU Age,<18,3,50.0%,,,,,,,3,50.0%,
Categories,18-21,"2,701",-7.3%,,,,,,,"2,701",-7.3%,
,22-25,155,-2.5%,,,,,,,155,-2.5%,
,26-30,12,50.0%,,,,,,,12,50.0%,
,31-39,4,100.0%,,,,,,,4,100.0%,
,40+,0,-100.0%,,,,,,,0,-100.0%,
Enrollment,1st Time in College,19,18.8%,,,,,,,19,18.8%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,34,-19.0%,,,,,,,34,-19.0%,
,Readmitted,60,53.8%,,,,,,,60,53.8%,
,Continuing,"2,762",-7.6%,,,,,,,"2,762",-7.6%,
Tuition,Resident Tuition,"2,754",-6.5%,,,,,,,"2,754",-6.5%,
Status,Non-Resident Tuition,72,-19.1%,,,,,,,72,-19.1%,
,Tuition  Exemption/Waiver,49,-5.8%,,,,,,,49,-5.8%,
Residency,Texas Resident,"2,760",-6.6%,,,,,,,"2,760",-6.6%,
Status,"Non-TX, US Resident",93,-17.0%,,,,,,,93,-17.0%,
,"Non-TX, Non-US Resident",22,15.8%,,,,,,,22,15.8%,
SCH,< 6 SCH,405,-3.8%,,,,,,,405,-3.8%,
Categories,6-8 SCH,58,-1.7%,,,,,,,58,-1.7%,
,9-11 SCH,72,-14.3%,,,,,,,72,-14.3%,
,12-14 SCH,"1,741",-9.9%,,,,,,,"1,741",-9.9%,
,15-17 SCH,584,0.5%,,,,,,,584,0.5%,
,>17 SCH,15,66.7%,,,,,,,15,66.7%,
Ft/Pt:,Less Than Half Time,404,-3.8%,,,,,,,404,-3.8%,
"TAMU
Status","Half-Time
Three-Quarter Time","57
72","-3.4%
-14.3%",,,,,,,"57
72","-3.4%
-14.3%",
,Full-Time,"2,342",-7.2%,,,,,,,"2,342",-7.2%,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,
