Spring 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,217",-3.3%,375,8.4%,102,8.5%,,,"1,694",-0.3%,
Gender,Female,354,-13.2%,152,14.3%,30,7.1%,,,536,-5.8%,
,Male,863,1.4%,223,4.7%,72,9.1%,,,"1,158",2.5%,
Ethnicity,White,"1,033",-4.6%,162,16.5%,26,0.0%,,,"1,221",-2.2%,
,Black,15,25.0%,5,25.0%,1,0.0%,,,21,23.5%,
,Hispanic,115,7.5%,19,26.7%,3,0.0%,,,137,9.6%,
,Asian,29,-3.3%,12,140.0%,2,0.0%,,,43,16.2%,
,American Indian,7,16.7%,0,-100.0%,,,,,7,0.0%,
,International,9,28.6%,170,-2.9%,68,11.5%,,,247,1.6%,
,Unknown/Other,9,-35.7%,7,0.0%,2,100.0%,,,18,-18.2%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,512,-4.5%,,,,,,,512,-4.5%,
,22-25,658,-1.8%,133,2.3%,0,-100.0%,,,791,-1.2%,
,26-30,31,-13.9%,178,9.2%,23,53.3%,,,232,8.4%,
,31-39,11,-8.3%,59,28.3%,54,-5.3%,,,124,7.8%,
,40+,5,0.0%,5,-28.6%,25,19.0%,,,35,6.1%,
Enrollment,1st Time in College,5,100.0%,,,,,,,5,100.0%,
Status,1st Time PB,,,2,-50.0%,,,,,2,-50.0%,
,1st Time Graduate,,,17,-15.0%,6,100.0%,,,23,15.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,36,20.0%,,,,,,,36,20.0%,
,Readmitted,5,25.0%,,,0,-100.0%,,,5,0.0%,
,Continuing,"1,171",-4.4%,356,10.6%,96,3.2%,,,"1,623",-1.0%,
Tuition,Resident Tuition,"1,168",-3.8%,171,24.8%,29,7.4%,,,"1,368",-0.7%,
Status,Non-Resident Tuition,28,-3.4%,28,-47.2%,22,10.0%,,,78,-23.5%,
,Tuition  Exemption/Waiver,21,31.3%,176,12.8%,51,8.5%,,,248,13.2%,
Residency,Texas Resident,"1,169",-3.8%,170,23.2%,28,3.7%,,,"1,367",-0.9%,
Status,"Non-TX, US Resident",39,5.4%,32,-3.0%,5,25.0%,,,76,2.7%,
,"Non-TX, Non-US Resident",9,28.6%,173,-1.1%,69,9.5%,,,251,2.4%,
SCH,< 6 SCH,15,15.4%,34,-2.9%,27,12.5%,,,76,5.6%,
Categories,6-8 SCH,92,50.8%,12,-7.7%,7,16.7%,,,111,38.8%,
,9-11 SCH,72,-7.7%,160,7.4%,66,13.8%,,,298,4.6%,
,12-14 SCH,699,-2.6%,115,5.5%,2,-66.7%,,,816,-2.0%,
,15-17 SCH,302,-16.1%,52,40.5%,,,,,354,-10.8%,
,>17 SCH,37,27.6%,2,-33.3%,,,,,39,21.9%,
Ft/Pt:,Less Than Half Time,15,36.4%,27,-12.9%,22,0.0%,,,64,0.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","88
70","51.7%
-1.4%",19,11.8%,11,37.5%,,,"118
70","42.2%
-1.4%",
,Full-Time,"1,044",-6.7%,329,10.4%,69,7.8%,,,"1,442",-2.6%,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,
