Spring 2004,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,35,48,1,1,1,6,2,5,1,1,44,60,2,1,84,121,205,
,COMG,5,15,,1,,1,,1,,,14,37,,2,20,57,77,
,COSC,26,276,1,2,4,23,3,1,,,,1,,1,34,305,339,
,COSL,23,183,,2,7,18,1,4,,1,1,1,,2,32,211,243,
,ENDL,96,124,2,2,11,18,5,3,,2,2,1,,,116,150,266,
,ENDS,90,99,1,3,11,13,4,3,,,,1,2,2,109,121,230,
,LAND,33,35,,,,2,1,1,,1,15,3,2,1,51,43,94,
,LANL,24,34,,2,4,4,2,1,,1,,,,,30,42,72,
,LDEV,1,9,,1,1,,,,,,3,7,,,5,17,22,
,URPL,6,10,,1,4,1,,,,,8,6,,1,18,19,37,
,URSC,2,10,1,,1,,1,,,,8,20,,1,13,31,44,
,VIZA,10,27,,,3,4,4,1,,,7,8,,1,24,41,65,
,Subtotal,351,870,6,15,47,90,23,20,1,6,102,145,6,12,536,"1,158",1694,
Business,ACCT,382,285,13,2,24,10,18,11,,,15,7,4,1,456,316,772,
Admin,AGBU,2,2,,,,,,,,,,,,,2,2,4,
,BUAD,890,743,18,13,54,43,30,32,3,7,5,25,1,6,"1,001",869,1870,
,BUAG,5,6,,,,,,,,,,,,,5,6,11,
,FINC,206,345,4,3,10,20,11,14,,4,6,9,2,6,239,401,640,
,INFO,51,123,6,3,7,8,8,5,1,2,8,6,,2,81,149,230,
,MGMT,170,171,5,2,23,14,9,7,1,2,7,6,2,2,217,204,421,
,MISY,16,24,,3,1,1,1,1,,,13,39,,1,31,69,100,
,MKTG,406,153,5,4,30,17,4,7,2,,6,12,6,2,459,195,654,
,MLER,11,39,1,,,3,,,,,,1,,,12,43,55,
,Subtotal,"2,139","1,891",52,30,149,116,81,77,7,15,60,105,15,20,"2,503","2,254",4757,
Education,CPSY,16,15,1,2,2,2,1,,,,2,,,,22,19,41,
,EDAD,134,89,20,12,34,15,1,,1,1,9,,4,2,203,119,322,
,EDCI,154,32,31,8,18,3,5,1,1,,26,2,2,,237,46,283,
,EDHL,151,16,5,2,13,2,2,2,,,,,1,,172,22,194,
,EDIS,776,28,12,2,72,5,4,2,4,,2,,1,,871,37,908,
,EDIT,,,,,,,,,,,1,,,,1,,1,
,EDKI,371,329,14,7,32,37,3,8,2,3,1,1,2,3,425,388,813,
,EDTC,20,10,2,,3,,,,,,4,,,,29,10,39,
,EHRD,56,39,12,5,15,12,,3,,,12,6,3,2,98,67,165,
,EPSY,128,24,5,1,36,2,1,,,,18,5,1,,189,32,221,
,HEED,18,6,4,1,,,,,,,1,,1,,24,7,31,
,HLTH,95,9,2,1,9,1,2,,1,,,,2,1,111,12,123,
,INST,867,35,8,2,56,4,7,,11,,2,,4,,955,41,996,
,ISNC,85,56,3,3,14,11,1,6,,,,1,,1,103,78,181,
,KINE,202,160,5,3,11,13,3,1,1,1,4,14,,3,226,195,421,
,PHED,3,5,,,1,2,,,,,,1,1,,5,8,13,
,SPSY,25,1,7,,6,4,1,,,,1,1,,,40,6,46,
,TECR,23,8,,,2,,,,,,,,,,25,8,33,
,Subtotal,"3,124",862,131,49,324,113,31,23,21,5,83,31,22,12,"3,736","1,095",4831,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,,,,,
