Spring 2004,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,ADEV,839,-7.1%,8,-46.7%,1,100.0%,,,847,-7.7%,
,AGBL,110,-24.1%,,,,,,,110,-24.1%,
,AGBU,105,-12.5%,33,-5.7%,,,,,139,-10.3%,
,AGEC,303,-14.6%,34,-19.0%,49,11.4%,,,386,-12.5%,
,AGED,,,56,1.8%,59,11.3%,,,115,6.5%,
,AGEN,93,-4.1%,3,50.0%,0,-100.0%,,,96,-4.0%,
,AGJR,102,39.7%,,,,,,,102,39.7%,
,AGLS,288,3.6%,,,,,,,288,3.6%,
,AGRO,121,-4.7%,20,0.0%,21,23.5%,,,162,-1.2%,
,AGSC,202,6.3%,,,,,,,202,6.3%,
,AGSM,172,-1.7%,0,-100.0%,,,,,172,-2.8%,
,ANBR,,,3,200.0%,1,0.0%,,,4,100.0%,
,ANSC,697,6.7%,55,25.0%,13,-7.1%,,,765,7.6%,
,BAEN,,,30,-9.1%,16,45.5%,,,46,4.5%,
,BESC,166,3.8%,,,,,,,166,3.8%,
,BICH,149,-4.5%,33,-13.2%,71,9.2%,,,253,-2.3%,
,BSEN,24,-20.0%,,,,,,,24,-20.0%,
,DASC,9,-18.2%,,,,,,,9,-18.2%,
,ENTO,63,61.5%,33,26.9%,21,-22.2%,,,117,27.2%,
,FISC,,,0,-100.0%,,,,,0,-100.0%,
,FLOR,8,33.3%,1,0.0%,,,,,9,28.6%,
,FORS,41,-6.8%,9,-10.0%,5,-37.5%,,,55,-11.3%,
,FSTC,43,-10.4%,30,-11.8%,20,-13.0%,,,93,-11.4%,
,GENE,164,-8.9%,21,90.9%,21,-16.0%,,,206,-4.6%,
,HORT,122,-7.6%,18,-5.3%,19,18.8%,,,159,-4.8%,
,MEPS,,,10,-9.1%,17,41.7%,,,27,17.4%,
,NRDV,,,9,12.5%,,,,,9,12.5%,
,NUSC,328,24.7%,,,,,,,328,24.7%,
,NUTR,,,24,-22.6%,15,-6.3%,,,39,-17.0%,
,PLBR,,,12,0.0%,13,-18.8%,,,25,-10.7%,
,PLPA,,,4,-42.9%,24,14.3%,,,28,0.0%,
,PLSC,,,3,200.0%,,,,,3,200.0%,
,POSC,207,38.9%,16,300.0%,13,0.0%,,,236,42.2%,
,PPHY,,,,,1,0.0%,,,1,0.0%,
,PPRO,,,0,-100.0%,,,,,0,-100.0%,
,PREP,,,18,50.0%,11,0.0%,,,29,26.1%,
,PSSC,5,-16.7%,,,,,,,5,-16.7%,
,RENR,39,25.8%,,,,,,,39,25.8%,
,RLEM,151,46.6%,33,0.0%,26,-21.2%,,,210,24.3%,
,RPTS,263,-17.3%,14,-26.3%,32,18.5%,,,309,-15.1%,
,RRDV,,,0,-100.0%,1,0.0%,,,1,-50.0%,
,SOSC,,,18,12.5%,9,-10.0%,,,27,3.8%,
,TOXI,,,1,-50.0%,2,100.0%,,,3,0.0%,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,
