Spring 2004,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,21,250.0%,36,-5.3%,20,17.6%,,,56,1.8%,
,ENGS,,,,,,,,,21,250.0%,
,ENST,30,150.0%,,,,,,,30,150.0%,
,ESCI,3,-76.9%,,,,,,,3,-76.9%,
,GEOG,134,-10.7%,19,-5.0%,22,0.0%,,,175,-8.9%,
,GEOL,79,-12.2%,45,7.1%,25,19.0%,,,149,-2.6%,
,GEOP,12,-7.7%,17,21.4%,15,-11.8%,,,44,0.0%,
,GEOS,,,5,400.0%,,,,,5,400.0%,
,METR,113,-16.3%,2,-33.3%,2,0.0%,,,117,-16.4%,
,OCNG,,,40,0.0%,32,14.3%,,,72,5.9%,
,Subtotal,392,-6.4%,164,3.8%,116,8.4%,,,672,-1.8%,
Liberal Arts,AMST,31,14.8%,,,,,,,31,14.8%,
,ANTH,108,-12.2%,69,3.0%,39,-4.9%,,,216,-6.5%,
,COML,,,3,200.0%,,,,,3,200.0%,
,ECON,624,-7.4%,42,27.3%,57,1.8%,,,723,-5.2%,
,ENGL,598,1.5%,47,-6.0%,63,3.3%,,,708,1.1%,
,FREN,12,50.0%,,,,,,,12,50.0%,
,GERM,9,50.0%,,,,,,,9,50.0%,
,HIST,587,13.3%,25,-7.4%,37,-11.9%,,,649,10.6%,
,INTS,371,10.1%,,,,,,,371,10.1%,
,JOUR,273,-47.3%,,,,,,,273,-47.3%,
,MODL,0,-100.0%,16,0.0%,,,,,16,-5.9%,
,MUSC,27,28.6%,,,,,,,27,28.6%,
,PHIL,117,14.7%,23,-25.8%,6,20.0%,,,146,5.8%,
,POLS,967,2.8%,13,0.0%,47,4.4%,,,"1,027",2.8%,
,PSYC,"1,341",-3.3%,28,0.0%,58,-7.9%,,,"1,427",-3.5%,
,RUSS,5,-44.4%,,,,,,,5,-44.4%,
,SCOM,734,-5.2%,16,23.1%,25,-7.4%,,,775,-4.8%,
,SOCI,276,2.6%,20,-13.0%,40,11.1%,,,336,2.4%,
,SPAN,90,32.4%,,,,,,,90,32.4%,
,STJR,,,17,6.3%,,,,,17,6.3%,
,TCMS,27,200.0%,,,,,,,27,200.0%,
,THAR,73,9.0%,,,,,,,73,9.0%,
,Subtotal,"6,270",-2.8%,319,0.3%,372,-1.1%,,,"6,961",-2.5%,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,
