Spring 2004,,Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
"Other - Special        BIOT Populations             MARM
MDSC MSEN PHLT REEP",,,,,,42,"1
4
30
5",4,,"12
5
1
21",1,,2,,,"16
1
9
4
51
47",
University,Subtotal Total,94,12,715,247,"42
32,293","40
174","4
352",2,"39
3,981","1
100",7,"2
3,122",1,500,"128
41,600",
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
