Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Philippines,,2,7,,9,
Poland,,2,1,,3,
Portugal,2,3,2,,7,
Romania,1,4,11,,16,
Russia,5,10,23,,38,
Rwanda,,3,,,3,
Saint Kitts & Nevis,,,1,,1,
San Marino,,,1,,1,
Saudi Arabia,2,6,10,,18,
Serbia,,3,4,,7,
Singapore,2,2,5,,9,
South Africa,,3,2,,5,
Spain,2,4,2,,8,
Sri Lanka (Ceylon),,2,5,,7,
Suriname,,1,,,1,
Sweden,1,1,1,,3,
Switzerland,1,,1,,2,
Syria,,1,2,,3,
Taiwan,11,34,74,,119,
Tanzania,,1,,,1,
Thailand,2,16,23,,41,
Trinidad & Tobago,1,2,,,3,
Tunisia,2,3,,,5,
Turkey,8,27,53,,88,
Turkmenistan,,1,,,1,
Uganda,1,1,2,,4,
Ukraine,,1,4,,5,
United Arab Emirates,4,2,,,6,
United Kingdom,13,2,2,,17,
United States,"32,817","3,058","1,640",501,"38,016",
Uruguay,3,1,2,,6,
Uzbekistan,1,2,1,,4,
Venezuela,8,22,13,,43,
Viet Nam Socialist Republic,5,2,5,,12,
Yemen,,1,,,1,
YUGOSLAVIA (OLD),,2,3,,5,
Zambia,,1,1,,2,
Zimbabwe (Rhodesia),,2,4,,6,
