Office of Institutional Studies and Planning,,,,,,,,,
Undergraduate  Students,,,,,,,,,
Spring 2004,,,,,,,,,
Official Certified 12th Class Data,,,,,,,,,
Spring 2004,,"U0: UG
Non-Degree","U1:
Freshmen","U2:
Sophomore","U3:
Junior",U4: Senior,U5: Undergraduate PB,Grand Total,
Head Count,Total,56,"5,493","7,510","8,883","11,332",87,"33,361",
Gender,Female,30,"2,782","3,812","4,408","5,345",42,"16,419",
,Male,26,"2,711","3,698","4,475","5,987",45,"16,942",
Ethnicity,White,13,"4,478","6,255","7,334","9,263",75,"27,418",
,Black,,139,190,206,232,1,768,
,Hispanic,,617,680,807,"1,046",4,"3,154",
,Asian,,176,205,277,400,1,"1,059",
,American Indian,,18,39,54,59,2,172,
,International,42,55,110,133,181,4,525,
,Unknown/Other,1,10,31,72,151,,265,
TAMU Age,<18,2,5,,,,,7,
Categories,18-21,11,"5,450","6,960","4,803",789,,"18,013",
,22-25,36,31,464,"3,835","9,826",41,"14,233",
,26-30,3,3,56,162,507,20,751,
,31-39,2,4,22,52,138,15,233,
,40+,2,,8,31,72,11,124,
College,Agriculture,2,477,"1,028","1,600","2,076",15,"5,198",
,Architecture,,130,229,323,534,1,"1,217",
,Business Admin,1,611,911,"1,156","1,364",,"4,043",
,Education,4,373,758,"1,096","1,324",30,"3,585",
,Engineering,1,"1,009","1,282","1,521","2,471",29,"6,313",
,Geosciences,,42,73,106,168,3,392,
,Liberal Arts,,541,"1,266","2,058","2,403",2,"6,270",
,Science,1,352,386,449,516,2,"1,706",
,Veterinary Medicine,,421,407,412,475,5,"1,720",
,General Studies,5,"1,537","1,170",162,1,,"2,875",
,Other - Special Populations,42,,,,,,42,
Enrollment,1st Time in College,,94,,,,,94,
Status,1st Time PB,,,,,,12,12,
,1st Time Transfer,,47,469,177,22,,715,
,Readmitted,,14,73,83,76,1,247,
,Continuing,56,"5,338","6,968","8,623","11,234",74,"32,293",
Tuition,Resident Tuition,14,"5,213","7,137","8,469","10,746",77,"31,656",
Status,Non-Resident Tuition,42,143,212,237,333,8,975,
,Tuition Exemption/Waiver,,137,161,177,253,2,730,
Residency,Texas Resident,14,"5,226","7,137","8,477","10,757",78,"31,689",
Status,"Non-TX, US Resident",,210,257,267,390,5,"1,129",
,"Non-TX, Non-US Resident",42,57,116,139,185,4,543,
SCH,< 6 SCH,8,302,158,92,280,13,853,
Categories,6-8 SCH,6,49,159,202,876,9,"1,301",
,9-11 SCH,,62,296,367,"1,266",26,"2,017",
,12-14 SCH,33,"3,629","4,594","4,967","5,523",27,"18,773",
,15-17 SCH,9,"1,427","2,222","3,075","2,972",11,"9,716",
,>17 SCH,,24,81,180,415,1,701,
Ft/Pt:,Less Than Half Time,8,302,148,58,200,13,729,
"TAMU
Status","Half-Time
Three-Quarter Time",5,"48
62","155
295","201
362","663
1,211","9
21","1,081
1,951",
,Full-Time,43,"5,081","6,912","8,262","9,258",44,"29,600",
"Prepared by OISP, 05 May 04",,,,,,,,,
