Top 10,,,,,,,,,
Spring 2004  Feeder Patterns Texas A&M University Campus,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,38016,,,,91.4%,,
India,,,802,,,,1.9%,,
"China, People's Rep of",,,661,,,,1.6%,,
"Korea, Republic of",,,608,,,,1.5%,,
Mexico,,,121,,,,0.3%,,
Taiwan,,,119,,,,0.3%,,
Turkey,,,88,,,,0.2%,,
Indonesia,,,87,,,,0.2%,,
Colombia,,,58,,,,0.1%,,
Nigeria,,,51,,,,0.1%,,
State,Students  % Total,,,,,,,,
Texas,35740,,,85.9%,,,,,
Louisiana,275,,,0.7%,,,,,
California,208,,,0.5%,,,,,
New Mexico,103,,,0.2%,,,,,
Illinois,101,,,0.2%,,,,,
Oklahoma,95,,,0.2%,,,,,
Florida,95,,,0.2%,,,,,
Arkansas,86,,,0.2%,,,,,
Colorado,76,,,0.2%,,,,,
Missouri,66,,,0.2%,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,6342,,,15.2%,,,,
Brazos,,2739,,,6.6%,,,,
Dallas,,2171,,,5.2%,,,,
Tarrant,,2065,,,5.0%,,,,
Bexar,,1923,,,4.6%,,,,
Fort Bend,,1278,,,3.1%,,,,
Montgomery,,1069,,,2.6%,,,,
Travis,,959,,,2.3%,,,,
Collin,,898,,,2.2%,,,,
Denton,,715,,,1.7%,,,,
