Spring 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"6,270",-2.8%,319,0.3%,372,-1.1%,,,"6,961",-2.5%,
Gender,Female,"3,714",-3.7%,164,-4.1%,160,5.3%,,,"4,038",-3.4%,
,Male,"2,556",-1.4%,155,5.4%,212,-5.4%,,,"2,923",-1.4%,
Ethnicity,White,"5,172",-3.2%,204,2.5%,222,-5.9%,,,"5,598",-3.1%,
,Black,158,6.0%,7,-22.2%,6,20.0%,,,171,4.9%,
,Hispanic,681,2.4%,28,0.0%,23,4.5%,,,732,2.4%,
,Asian,124,-14.5%,4,-60.0%,8,33.3%,,,136,-15.5%,
,American Indian,29,-9.4%,1,-50.0%,3,200.0%,,,33,-5.7%,
,International,40,25.0%,63,6.8%,101,4.1%,,,204,8.5%,
,Unknown/Other,66,-21.4%,12,9.1%,9,0.0%,,,87,-16.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"2,896",-6.2%,1,-50.0%,,,,,"2,897",-6.2%,
,22-25,"3,161",0.1%,124,14.8%,14,-6.7%,,,"3,299",0.5%,
,26-30,141,7.6%,112,-12.5%,141,6.8%,,,394,0.8%,
,31-39,43,-8.5%,56,7.7%,158,-6.0%,,,257,-3.7%,
,40+,29,16.0%,26,-7.1%,59,-3.3%,,,114,0.0%,
Enrollment,1st Time in College,11,37.5%,,,,,,,11,37.5%,
Status,1st Time PB,0,-100.0%,8,-27.3%,,,,,8,-33.3%,
,1st Time Graduate,,,14,16.7%,2,100.0%,,,16,33.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,171,-19.3%,,,,,,,171,-19.3%,
,Readmitted,55,-26.7%,0,-100.0%,0,-100.0%,,,55,-28.6%,
,Continuing,"6,033",-1.9%,297,1.0%,370,-1.3%,,,"6,700",-1.8%,
Tuition,Resident Tuition,"5,993",-3.3%,163,-2.4%,154,0.7%,,,"6,310",-3.2%,
Status,Non-Resident Tuition,157,12.1%,49,8.9%,51,-23.9%,,,257,2.0%,
,Tuition  Exemption/Waiver,120,7.1%,107,0.9%,167,7.1%,,,394,5.3%,
Residency,Texas Resident,"6,007",-3.2%,168,-1.2%,155,0.6%,,,"6,330",-3.1%,
Status,"Non-TX, US Resident",221,6.8%,88,-3.3%,114,-8.1%,,,423,0.2%,
,"Non-TX, Non-US Resident",42,27.3%,63,10.5%,103,5.1%,,,208,10.6%,
SCH,< 6 SCH,78,-4.9%,60,-9.1%,105,-2.8%,,,243,-5.1%,
Categories,6-8 SCH,242,9.0%,17,-19.0%,7,-69.6%,,,266,0.0%,
,9-11 SCH,463,2.9%,224,6.7%,250,5.0%,,,937,4.3%,
,12-14 SCH,"3,191",-10.3%,16,-11.1%,9,50.0%,,,"3,216",-10.2%,
,15-17 SCH,"2,134",7.2%,2,-33.3%,1,100.0%,,,"2,137",7.2%,
,>17 SCH,162,10.2%,,,0,-100.0%,,,162,9.5%,
Ft/Pt:,Less Than Half Time,68,-9.3%,43,-15.7%,76,2.7%,,,187,-6.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","238
453","11.7%
4.9%",34,-5.6%,35,-38.6%,,,"307
453","0.3%
4.9%",
,Full-Time,"5,511",-3.8%,242,4.8%,261,6.5%,,,"6,014",-3.1%,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,
