Spring 2004,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Other -,BIOT,0,-100.0%,16,100.0%,3,100.0%,,,16,100.0%,
"Special
Populations",MARM MDSC,,,"1
9","-90.9%
-35.7%",,,,,"1
9","-90.9%
-35.7%",
,MSEN,,,1,100.0%,,,,,4,100.0%,
,OCRE,,,,,,,,,0,-100.0%,
,PHLT,,,51,64.5%,,,,,51,64.5%,
,REEP,42,55.6%,5,-44.4%,,,,,47,30.6%,
,Subtotal,42,50.0%,83,13.7%,3,100.0%,,,128,26.7%,
Total,,"33,361",-2.0%,"4,509",0.1%,"3,229",4.5%,501,2.7%,"41,600",-1.2%,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,
