Spring 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,706",-1.8%,306,4.1%,389,10.5%,,,"2,401",0.8%,
Gender,Female,"1,039",-2.7%,145,16.0%,103,9.6%,,,"1,287",0.0%,
,Male,667,-0.3%,161,-4.7%,286,10.9%,,,"1,114",1.6%,
Ethnicity,White,"1,277",-3.1%,163,15.6%,127,11.4%,,,"1,567",-0.4%,
,Black,52,-3.7%,6,20.0%,4,33.3%,,,62,0.0%,
,Hispanic,210,-4.5%,18,5.9%,11,37.5%,,,239,-2.4%,
,Asian,131,18.0%,11,37.5%,8,-11.1%,,,150,17.2%,
,American Indian,7,16.7%,1,100.0%,2,0.0%,,,10,25.0%,
,International,16,100.0%,99,-16.1%,235,9.3%,,,350,2.6%,
,Unknown/Other,13,-35.0%,8,60.0%,2,100.0%,,,23,-11.5%,
TAMU Age,<18,2,100.0%,,,,,,,2,100.0%,
Categories,18-21,"1,121",1.2%,1,0.0%,,,,,"1,122",1.2%,
,22-25,548,-7.4%,105,-12.5%,44,37.5%,,,697,-6.3%,
,26-30,28,12.0%,110,12.2%,200,8.7%,,,338,10.1%,
,31-39,6,-40.0%,56,16.7%,130,6.6%,,,192,6.7%,
,40+,1,-50.0%,34,25.9%,15,7.1%,,,50,16.3%,
Enrollment,1st Time in College,8,300.0%,,,,,,,8,300.0%,
Status,1st Time PB,1,100.0%,7,-50.0%,,,,,8,-42.9%,
,1st Time Graduate,,,29,123.1%,6,-33.3%,,,35,59.1%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,19,-60.4%,,,,,,,19,-60.4%,
,Readmitted,13,160.0%,,,1,100.0%,,,14,180.0%,
,Continuing,"1,665",-1.0%,270,1.1%,382,11.4%,,,"2,317",1.1%,
Tuition,Resident Tuition,"1,614",-1.5%,108,17.4%,62,12.7%,,,"1,784",-0.1%,
Status,Non-Resident Tuition,44,-10.2%,41,95.2%,43,19.4%,,,128,20.8%,
,Tuition  Exemption/Waiver,48,-4.0%,157,-13.3%,284,8.8%,,,489,-0.6%,
Residency,Texas Resident,"1,615",-1.9%,108,13.7%,65,18.2%,,,"1,788",-0.4%,
Status,"Non-TX, US Resident",73,-8.8%,98,25.6%,87,11.5%,,,258,9.3%,
,"Non-TX, Non-US Resident",18,63.6%,100,-17.4%,237,8.2%,,,355,1.1%,
SCH,< 6 SCH,8,-20.0%,56,40.0%,17,6.3%,,,81,22.7%,
Categories,6-8 SCH,39,25.8%,18,-10.0%,5,25.0%,,,62,12.7%,
,9-11 SCH,98,25.6%,219,-0.5%,362,10.0%,,,679,8.3%,
,12-14 SCH,"1,018",-6.9%,12,0.0%,3,0.0%,,,"1,033",-6.8%,
,15-17 SCH,502,2.7%,1,-50.0%,1,100.0%,,,504,2.6%,
,>17 SCH,41,13.9%,,,1,100.0%,,,42,16.7%,
Ft/Pt:,Less Than Half Time,8,-20.0%,51,41.7%,15,0.0%,,,74,21.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","38
92","46.2%
31.4%",23,-4.2%,6,20.0%,,,"67
92","21.8%
31.4%",
,Full-Time,"1,568",-3.9%,232,-0.9%,368,10.8%,,,"2,168",-1.3%,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,
