Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Albania,,2,,,2,
Algeria,,,1,,1,
Angola,6,2,,,8,
Antigua and Barbuda,,1,,,1,
Argentina,1,6,8,,15,
Armenia,,2,,,2,
Australia,5,1,1,,7,
Austria,3,,2,,5,
Azerbaijan,,4,,,4,
"Bahamas, The",1,2,,,3,
Bangladesh,7,9,10,,26,
Belarus,,3,6,,9,
Belgium,1,,,,1,
Belize (British Honduras),,1,,,1,
Bolivia,8,1,3,,12,
Brazil,4,7,11,,22,
Bulgaria,,,9,,9,
Burma (Myanmar),,,1,,1,
Cameroon,2,,,,2,
Canada,17,13,20,,50,
Chile,,2,4,,6,
"China, People's Rep of",16,237,408,,661,
Colombia,16,32,10,,58,
Congo,1,,,,1,
Costa Rica,9,3,1,,13,
Cote d'Ivoire (Ivory Coast),,,1,,1,
Croatia,2,1,,,3,
Cyprus,,2,,,2,
Czech Republic,,1,,,1,
Denmark,1,1,1,,3,
Dominica,,,1,,1,
Dominican Republic,1,2,2,,5,
Ecuador,15,7,2,,24,
Egypt (A.R.E.),1,4,20,,25,
El Salvador,3,1,,,4,
Eritrea,,,2,,2,
Ethiopia,1,1,,,2,
France,13,9,8,,30,
Gaza Strip,,1,,,1,
Georgia (C.I.S.),,,3,,3,
Germany,6,14,5,,25,
Ghana,2,4,5,,11,
Greece,1,3,11,,15,
