Spring 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"33,361",-2.0%,"4,509",0.1%,"3,229",4.5%,501,2.7%,"41,600",-1.2%,
Gender,Female,"16,419",-1.4%,"1,872",-0.1%,"1,206",6.6%,362,4.3%,"19,859",-0.8%,
,Male,"16,942",-2.5%,"2,637",0.3%,"2,023",3.3%,139,-1.4%,"21,741",-1.7%,
Ethnicity,White,"27,418",-2.2%,"2,506",5.0%,"1,289",-0.9%,446,1.4%,"31,659",-1.6%,
,Black,768,-6.9%,100,23.5%,109,11.2%,1,100.0%,978,-2.6%,
,Hispanic,"3,154",3.3%,270,9.3%,152,2.7%,34,36.0%,"3,610",3.9%,
,Asian,"1,059",-2.1%,109,0.9%,61,8.9%,10,-23.1%,"1,239",-1.6%,
,American Indian,172,0.0%,7,-22.2%,8,-11.1%,2,0.0%,189,-1.6%,
,International,525,8.2%,"1,433",-10.0%,"1,579",8.8%,,,"3,537",0.2%,
,Unknown/Other,265,-29.5%,84,6.3%,31,14.8%,8,0.0%,388,-20.8%,
TAMU Age,<18,7,133.3%,,,,,,,7,133.3%,
Categories,18-21,"18,013",-2.5%,2,-83.3%,0,-100.0%,5,-16.7%,"18,020",-2.6%,
,22-25,"14,233",-1.2%,"2,065",1.8%,161,7.3%,241,10.0%,"16,700",-0.6%,
,26-30,751,-3.0%,"1,449",0.2%,"1,152",9.5%,181,-8.1%,"3,533",1.8%,
,31-39,233,-12.4%,661,-0.3%,"1,288",1.2%,63,18.9%,"2,245",-0.4%,
,40+,124,9.7%,332,-5.9%,628,2.8%,11,-15.4%,"1,095",0.5%,
Enrollment,1st Time in College,94,46.9%,,,,,,,94,46.9%,
Status,1st Time PB,12,33.3%,174,-4.4%,,,,,186,-2.6%,
,1st Time Graduate,,,352,8.3%,100,-21.3%,,,452,0.0%,
,1st Time Professional,,,,,,,1,-50.0%,1,-50.0%,
,1st Time Transfer,715,-17.3%,,,,,,,715,-17.3%,
,Readmitted,247,-5.4%,2,-66.7%,7,-22.2%,,,256,-7.2%,
,Continuing,"32,293",-1.7%,"3,981",-0.2%,"3,122",5.7%,500,2.9%,"39,896",-0.9%,
Tuition,Resident Tuition,"31,656",-2.1%,"2,401",6.1%,"1,162",1.7%,474,1.7%,"35,693",-1.4%,
Status,Non-Resident Tuition,975,0.8%,529,1.0%,416,6.1%,6,-14.3%,"1,926",1.9%,
,Tuition  Exemption/Waiver,730,-1.7%,"1,579",-8.0%,"1,651",6.2%,21,40.0%,"3,981",-1.2%,
Residency,Texas Resident,"31,689",-2.1%,"2,411",5.7%,"1,167",1.9%,474,1.7%,"35,741",-1.5%,
Status,"Non-TX, US Resident","1,129",-2.2%,653,6.0%,473,-1.7%,27,22.7%,"2,282",0.4%,
,"Non-TX, Non-US Resident",543,8.4%,"1,445",-10.0%,"1,589",8.5%,,,"3,577",0.2%,
SCH,< 6 SCH,853,4.7%,712,8.7%,725,5.4%,,,"2,290",6.1%,
Categories,6-8 SCH,"1,301",8.9%,414,-6.3%,199,-12.3%,,,"1,914",2.7%,
,9-11 SCH,"2,017",4.1%,"2,469",-1.6%,"2,203",7.8%,,,"6,689",3.1%,
,12-14 SCH,"18,773",-5.8%,678,3.2%,90,-21.1%,,,"19,541",-5.6%,
,15-17 SCH,"9,716",1.9%,152,14.3%,10,-37.5%,0,-100.0%,"9,878",1.7%,
,>17 SCH,701,11.4%,84,-21.5%,2,100.0%,501,8.0%,"1,288",7.2%,
Ft/Pt:,Less Than Half Time,729,3.3%,593,5.9%,601,3.8%,,,"1,923",4.2%,
"TAMU
Status","Half-Time
Three-Quarter Time","1,081
1,951","9.6%
7.1%",524,-2.1%,312,-6.9%,,,"1,917
1,951","3.3%
7.1%",
,Full-Time,"29,600",-3.0%,"3,392",-0.5%,"2,316",6.4%,501,2.7%,"35,809",-2.2%,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,
