Top 10,,,,,,,,
Spring 2004  Feeder Patterns New Graduate,,,,,,,,
Country,,,Students  % Total,,,,,
United States,,,289,,,63.9%,,
India,,,46,,,10.2%,,
"China, People's Rep of",,,27,,,6.0%,,
"Korea, Republic of",,,21,,,4.6%,,
Indonesia,,,7,,,1.5%,,
Mexico,,,7,,,1.5%,,
Turkey,,,6,,,1.3%,,
Taiwan,,,5,,,1.1%,,
Colombia,,,4,,,0.9%,,
Russia,,,3,,,0.7%,,
State,Students  % Total,,,,,,,
Texas,255,,,56.4%,,,,
Louisiana,4,,,0.9%,,,,
California,4,,,0.9%,,,,
Florida,3,,,0.7%,,,,
Missouri,3,,,0.7%,,,,
Tennessee,3,,,0.7%,,,,
Washington,3,,,0.7%,,,,
Georgia,2,,,0.4%,,,,
Kentucky,2,,,0.4%,,,,
Indiana,2,,,0.4%,,,,
Texas County   Students  % Total,,,,,,,,
Brazos,,65,,,14.4%,,,
Harris,,38,,,8.4%,,,
Bexar,,11,,,2.4%,,,
Dallas,,10,,,2.2%,,,
Tarrant,,10,,,2.2%,,,
Montgomery,,6,,,1.3%,,,
Brazoria,,5,,,1.1%,,,
Bell,,5,,,1.1%,,,
Collin,,5,,,1.1%,,,
Fort Bend,,4,,,0.9%,,,
