Spring 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,28,3.7%,73,40.4%,,,,,101,27.8%,
Gender,Female,11,-21.4%,44,76.0%,,,,,55,41.0%,
,Male,17,30.8%,29,7.4%,,,,,46,15.0%,
Ethnicity,White,1,100.0%,32,39.1%,,,,,33,43.5%,
,Black,,,2,-66.7%,,,,,2,-66.7%,
,Hispanic,,,11,120.0%,,,,,11,120.0%,
,Asian,,,4,33.3%,,,,,4,33.3%,
,American Indian,,,,,,,,,,,
,International,27,0.0%,21,61.5%,,,,,48,20.0%,
,Unknown/Other,,,3,50.0%,,,,,3,50.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,8,60.0%,2,100.0%,,,,,10,100.0%,
,22-25,17,-15.0%,28,0.0%,,,,,45,-6.3%,
,26-30,2,100.0%,22,83.3%,,,,,24,84.6%,
,31-39,1,0.0%,9,50.0%,,,,,10,42.9%,
,40+,,,12,100.0%,,,,,12,100.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,37,100.0%,,,,,37,100.0%,
,1st Time Graduate,,,2,0.0%,,,,,2,0.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,28,3.7%,34,-32.0%,,,,,62,-19.5%,
Tuition,Resident Tuition,1,100.0%,44,29.4%,,,,,45,32.4%,
Status,Non-Resident Tuition,27,0.0%,13,85.7%,,,,,40,17.6%,
,Tuition Exemption/Waiver,,,16,45.5%,,,,,16,45.5%,
Residency,Texas Resident,1,100.0%,47,38.2%,,,,,48,41.2%,
Status,"Non-TX, US Resident",,,5,0.0%,,,,,5,0.0%,
,"Non-TX, Non-US Resident",27,0.0%,21,61.5%,,,,,48,20.0%,
SCH,< 6 SCH,,,50,47.1%,,,,,50,47.1%,
Categories,6-8 SCH,,,6,50.0%,,,,,6,50.0%,
,9-11 SCH,0,-100.0%,1,-83.3%,,,,,1,-87.5%,
,12-14 SCH,21,31.3%,10,66.7%,,,,,31,40.9%,
,15-17 SCH,7,-22.2%,6,200.0%,,,,,13,18.2%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,42,35.5%,,,,,42,35.5%,
TAMU,Half-Time,,,14,100.0%,,,,,14,100.0%,
Status,Three-Quarter Time,0,-100.0%,,,,,,,0,-100.0%,
,Full-Time,28,12.0%,17,21.4%,,,,,45,15.4%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,
