Demographic Summary by Housing,,,,,,,,,,
Spring 2003,,,,,,,,,,
"Spring 2003
Head Count       Total
Gender               Female Male
Ethnicity            White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age       <18
Categories         18-21
22-25
26-30
31-39
40+
College              Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations Enrollment         1st Time in College
Status                 1st Time PB
1st Time Graduate  1st Time Professional 1st Time Transfer Readmitted Continuing
Tuition               Resident Tuition
Status                 Non-Resident Tuition Tuition Exemption/Waiver
Residency          Texas Resident
Status                 Non-TX, US Resident
Non-TX, Non-US Resident
SCH                   < 6 SCH
Categories         6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                  Less Than Half Time
TAMU               Half-Time
Full-Time",Undergraduate,,Masters,,PhD,,Professional,Grand Total,,
,Off-campus,Dorm,Off-campus,Dorm,Off-campus,Dorm,Off-campus,Off-campus,Dorm,
,,(On-campus),,(On-campus),,(On-campus),,,(On-campus),
,"24,487","9,551","4,484",19,"3,088",2,488,"32,547","9,572",
,"12,465","4,195","1,874",,"1,130",1,347,"15,816","4,196",
,"12,022","5,356","2,610",19,"1,958",1,141,"16,731","5,376",
,"20,530","7,515","2,376",10,"1,300",1,440,"24,646","7,526",
,475,350,81,,98,,,654,350,
,"1,971","1,082",246,1,148,,25,"2,390","1,083",
,726,356,106,2,56,,13,901,358,
,124,48,9,,9,,2,144,48,
,367,118,"1,587",6,"1,450",1,,"3,404",125,
,294,82,79,,27,,8,408,82,
,1,2,,,,,,1,2,
,"10,229","8,251",12,,3,1,6,"10,250","8,252",
,"13,130","1,272","2,014",15,150,,219,"15,513","1,287",
,753,21,"1,444",2,"1,051",1,197,"3,445",24,
,261,5,662,1,"1,273",,53,"2,249",6,
,113,,352,1,611,,13,"1,089",1,
,"4,257",937,640,3,533,,,"5,430",940,
,967,292,343,3,94,,,"1,404",295,
,"3,065","1,162",718,2,76,,,"3,859","1,164",
,"2,702",559,540,,663,,,"3,905",559,
,"4,418","2,291","1,212",10,810,2,,"6,440","2,303",
,,,125,,,,,125,,
,293,126,157,1,107,,,557,127,
,"4,954","1,494",318,,376,,,"5,648","1,494",
,"1,083",654,294,,352,,,"1,729",654,
,"1,084",586,64,,77,,488,"1,713",586,
,"1,657","1,429",,,,,,"1,657","1,429",
,7,21,73,,,,,80,21,
,32,32,,,,,,32,32,
,9,,182,,,,,191,,
,,,320,5,127,,,447,5,
,,,,,,,2,2,,
,791,74,,,,,,791,74,
,248,13,6,,9,,,263,13,
,"23,407","9,432","3,976",14,"2,952",2,486,"30,821","9,448",
,"23,396","8,932","2,252",11,"1,142",1,466,"27,256","8,944",
,703,264,522,2,392,,7,"1,624",266,
,388,355,"1,710",6,"1,554",1,15,"3,667",362,
,"23,431","8,952","2,271",11,"1,144",1,466,"27,312","8,964",
,683,471,614,2,481,,22,"1,800",473,
,373,128,"1,599",6,"1,463",1,,"3,435",135,
,708,107,655,,688,,,"2,051",107,
,"1,137",58,439,3,227,,,"1,803",61,
,"1,822",116,"2,496",13,"2,042",2,,"6,360",131,
,"13,959","5,964",655,2,114,,,"14,728","5,966",
,"6,363","3,175",132,1,16,,24,"6,535","3,176",
,498,131,107,,1,,464,"1,070",131,
,600,106,560,,579,,,"1,739",106,
,932,54,532,3,335,,,"1,799",57,
,"1,710",112,,,,,,"1,710",112,
,"21,245","9,279","3,392",16,"2,174",2,488,"27,299","9,297",
"Prepared by OISP, 08 Apr 03",,,,,,,,,,
