Spring 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,261",8.1%,540,0.6%,663,9.6%,,,"4,464",7.3%,
Gender,Female,"2,610",6.4%,409,3.3%,430,8.9%,,,"3,449",6.3%,
,Male,651,15.4%,131,-7.1%,233,11.0%,,,"1,015",10.9%,
Ethnicity,White,"2,890",7.7%,422,6.6%,427,3.9%,,,"3,739",7.1%,
,Black,67,39.6%,24,-27.3%,74,29.8%,,,165,19.6%,
,Hispanic,221,7.3%,52,-20.0%,85,2.4%,,,358,1.1%,
,Asian,29,26.1%,10,150.0%,6,50.0%,,,45,45.2%,
,American Indian,23,21.1%,2,100.0%,3,-25.0%,,,28,16.7%,
,International,7,40.0%,23,-30.3%,60,53.8%,,,90,16.9%,
,Unknown/Other,24,-25.0%,7,40.0%,8,14.3%,,,39,-11.4%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,522",7.0%,,,,,,,"1,522",7.0%,
,22-25,"1,609",7.6%,162,8.7%,15,36.4%,,,"1,786",7.9%,
,26-30,84,47.4%,146,6.6%,101,13.5%,,,331,17.0%,
,31-39,31,6.9%,118,-5.6%,225,10.8%,,,374,4.8%,
,40+,15,15.4%,114,-9.5%,322,6.6%,,,451,2.3%,
Enrollment,1st Time in College,7,75.0%,,,,,,,7,75.0%,
Status,1st Time PB,2,-66.7%,49,100.0%,,,,,51,750.0%,
,1st Time Graduate,,,41,46.4%,43,186.7%,,,84,95.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,130,1.6%,,,,,,,130,1.6%,
,Readmitted,10,-56.5%,1,-75.0%,3,-25.0%,,,14,-54.8%,
,Continuing,"3,112",9.0%,449,-11.1%,617,5.3%,,,"4,178",5.9%,
Tuition,Resident Tuition,"3,174",7.8%,471,2.6%,552,7.6%,,,"4,197",7.2%,
Status,Non-Resident Tuition,52,20.9%,33,37.5%,39,30.0%,,,124,27.8%,
,Tuition Exemption/Waiver,35,16.7%,36,-33.3%,72,16.1%,,,143,-2.1%,
Residency,Texas Resident,"3,178",7.8%,476,1.7%,552,7.4%,,,"4,206",7.1%,
Status,"Non-TX, US Resident",76,16.9%,40,11.1%,50,-2.0%,,,166,9.2%,
,"Non-TX, Non-US Resident",7,40.0%,24,-27.3%,61,52.5%,,,92,17.9%,
SCH,< 6 SCH,25,-24.2%,147,-2.6%,287,6.7%,,,459,1.3%,
Categories,6-8 SCH,242,62.4%,195,-1.0%,145,81.3%,,,582,36.6%,
,9-11 SCH,225,1.4%,132,3.1%,184,-9.4%,,,541,-2.2%,
,12-14 SCH,"1,604",11.4%,57,16.3%,40,8.1%,,,"1,701",11.5%,
,15-17 SCH,"1,081",0.2%,9,-10.0%,7,-56.3%,,,"1,097",-0.7%,
,>17 SCH,84,-10.6%,0,-100.0%,,,,,84,-12.5%,
Ft/Pt:,Less Than Half Time,25,-21.9%,126,-2.3%,245,10.4%,,,396,3.4%,
TAMU,Half-Time,84,10.5%,215,-1.8%,187,47.2%,,,486,15.2%,
Status,Three-Quarter Time,177,37.2%,,,,,,,177,37.2%,
,Full-Time,"2,975",7.0%,199,5.3%,231,-9.8%,,,"3,405",5.6%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,
