Spring 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"4,227",-6.4%,720,-2.2%,76,7.0%,,,"5,023",-5.6%,
Gender,Female,"2,309",-5.6%,296,-0.3%,31,24.0%,,,"2,636",-4.8%,
,Male,"1,918",-7.3%,424,-3.4%,45,-2.2%,,,"2,387",-6.5%,
Ethnicity,White,"3,660",-5.6%,505,1.2%,32,6.7%,,,"4,197",-4.8%,
,Black,84,1.2%,12,-36.8%,3,50.0%,,,99,-4.8%,
,Hispanic,252,-15.7%,33,17.9%,2,-33.3%,,,287,-13.0%,
,Asian,135,-2.2%,21,0.0%,,,,,156,-1.9%,
,American Indian,15,-6.3%,2,100.0%,1,0.0%,,,18,0.0%,
,International,41,5.1%,129,-14.6%,37,8.8%,,,207,-7.6%,
,Unknown/Other,40,-35.5%,18,5.9%,1,0.0%,,,59,-26.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"2,507",0.6%,2,0.0%,,,,,"2,509",0.6%,
,22-25,"1,662",-14.9%,354,12.7%,4,100.0%,,,"2,020",-11.0%,
,26-30,31,-20.5%,173,-17.6%,26,30.0%,,,230,-14.5%,
,31-39,14,-33.3%,123,-6.8%,29,-9.4%,,,166,-10.3%,
,40+,13,30.0%,68,-12.8%,17,0.0%,,,98,-6.7%,
Enrollment,1st Time in College,8,60.0%,,,,,,,8,60.0%,
Status,1st Time PB,,,2,100.0%,,,,,2,100.0%,
,1st Time Graduate,,,29,3.6%,3,50.0%,,,32,6.7%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,2,100.0%,,,,,,,2,100.0%,
,Readmitted,16,45.5%,1,100.0%,,,,,17,54.5%,
,Continuing,"4,201",-6.6%,688,-2.8%,73,5.8%,,,"4,962",-6.0%,
Tuition,Resident Tuition,"4,091",-6.2%,531,3.3%,22,4.8%,,,"4,644",-5.2%,
Status,Non-Resident Tuition,72,-17.2%,30,3.4%,9,-40.0%,,,111,-15.3%,
,Tuition Exemption/Waiver,64,-3.0%,159,-17.6%,45,28.6%,,,268,-8.8%,
Residency,Texas Resident,"4,096",-6.2%,527,1.5%,24,9.1%,,,"4,647",-5.4%,
Status,"Non-TX, US Resident",89,-16.0%,63,-7.4%,15,0.0%,,,167,-11.6%,
,"Non-TX, Non-US Resident",42,5.0%,130,-12.8%,37,8.8%,,,209,-6.3%,
SCH,< 6 SCH,30,-30.2%,14,-17.6%,12,-25.0%,,,56,-26.3%,
Categories,6-8 SCH,105,-16.0%,31,-22.5%,,,,,136,-17.6%,
,9-11 SCH,254,-5.9%,280,20.7%,45,12.5%,,,579,6.8%,
,12-14 SCH,"2,535",-5.2%,238,-20.1%,19,26.7%,,,"2,792",-6.5%,
,15-17 SCH,"1,254",-6.8%,54,-59.1%,,,,,"1,308",-11.5%,
,>17 SCH,49,-14.0%,103,505.9%,,,,,152,105.4%,
Ft/Pt:,Less Than Half Time,27,-18.2%,13,-7.1%,12,-20.0%,,,52,-16.1%,
TAMU,Half-Time,103,-14.9%,32,-25.6%,0,-100.0%,,,135,-18.2%,
Status,Three-Quarter Time,248,-5.3%,,,,,,,248,-5.3%,
,Full-Time,"3,849",-6.1%,675,-0.6%,64,16.4%,,,"4,588",-5.1%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,
