Spring 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"6,709",-3.8%,"1,222",8.4%,812,9.6%,,,"8,743",-1.1%,
Gender,Female,"1,336",-4.2%,202,3.1%,127,17.6%,,,"1,665",-1.9%,
,Male,"5,373",-3.7%,"1,020",9.6%,685,8.2%,,,"7,078",-0.9%,
Ethnicity,White,"5,062",-3.4%,278,21.9%,104,-2.8%,,,"5,444",-2.3%,
,Black,181,-8.1%,11,10.0%,9,-10.0%,,,201,-7.4%,
,Hispanic,672,-5.8%,35,20.7%,8,100.0%,,,715,-4.2%,
,Asian,391,-12.3%,34,70.0%,13,44.4%,,,438,-7.8%,
,American Indian,25,-10.7%,,,1,100.0%,,,26,-7.1%,
,International,292,20.2%,854,2.0%,676,11.0%,,,"1,822",7.9%,
,Unknown/Other,86,-20.4%,10,233.3%,1,-50.0%,,,97,-14.2%,
TAMU Age,<18,1,0.0%,,,,,,,1,0.0%,
Categories,18-21,"3,405",-2.3%,4,-20.0%,4,100.0%,,,"3,413",-2.2%,
,22-25,"3,005",-4.4%,668,11.0%,56,43.6%,,,"3,729",-1.4%,
,26-30,217,-10.0%,394,8.2%,340,12.2%,,,951,4.7%,
,31-39,64,-21.0%,114,-9.5%,363,5.2%,,,541,-2.0%,
,40+,17,-29.2%,42,40.0%,49,-9.3%,,,108,0.0%,
Enrollment,1st Time in College,16,-36.0%,,,,,,,16,-36.0%,
Status,1st Time PB,4,0.0%,24,100.0%,,,,,28,600.0%,
,1st Time Graduate,,,128,16.4%,52,52.9%,,,180,25.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,143,9.2%,,,,,,,143,9.2%,
,Readmitted,36,-5.3%,2,-60.0%,3,200.0%,,,41,-6.8%,
,Continuing,"6,510",-3.9%,"1,068",5.5%,757,7.2%,,,"8,335",-1.9%,
Tuition,Resident Tuition,"6,094",-4.5%,278,31.1%,85,3.7%,,,"6,457",-3.3%,
Status,Non-Resident Tuition,354,7.6%,243,-5.8%,136,5.4%,,,733,2.4%,
,Tuition Exemption/Waiver,261,-1.9%,701,6.7%,591,11.5%,,,"1,553",6.9%,
Residency,Texas Resident,"6,102",-4.7%,278,29.9%,83,0.0%,,,"6,463",-3.5%,
Status,"Non-TX, US Resident",310,-5.2%,84,12.0%,50,2.0%,,,444,-1.6%,
,"Non-TX, Non-US Resident",297,20.2%,860,2.6%,679,11.5%,,,"1,836",8.4%,
SCH,< 6 SCH,131,-15.5%,110,-9.8%,85,-21.3%,,,326,-15.3%,
Categories,6-8 SCH,191,22.4%,74,94.7%,13,44.4%,,,278,36.9%,
,9-11 SCH,375,29.3%,953,6.4%,686,15.9%,,,"2,014",13.3%,
,12-14 SCH,"4,201",-2.4%,80,23.1%,26,-10.3%,,,"4,307",-2.1%,
,15-17 SCH,"1,724",-12.4%,5,-16.7%,2,-33.3%,,,"1,731",-12.4%,
,>17 SCH,87,-13.9%,,,,,,,87,-13.9%,
Ft/Pt:,Less Than Half Time,45,-2.2%,104,2.0%,78,-21.2%,,,227,-8.1%,
TAMU,Half-Time,186,20.0%,79,38.6%,20,25.0%,,,285,25.0%,
Status,Three-Quarter Time,354,23.3%,,,,,,,354,23.3%,
,Full-Time,"6,124",-5.6%,"1,039",7.3%,714,14.1%,,,"7,877",-2.5%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,
