Spring 2003,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering       AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS IHYG INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL PREN RHEL RHEN SENG",,"147
214
72
116
111
128
95
159
112
241
3
297
146
195
541
150
328
0
1
221
113
4
120
355
0
37
117
8
276
591
35
82
23
64
124
64
126
3
21
4","-8.1%
0.0%
35.8%
-4.1%
-15.9%
-9.9%
-21.5%
18.7%
1.8%
-7.7%
-50.0%
-8.9%
-23.2%
27.5%
7.1%
-14.8%
1.2%
-100.0%
-50.0%
-30.3%
-8.9%
0.0%
-25.5%
4.1%
-100.0%
-31.5%
-4.9%
14.3%
9.1%
-1.5%
6.1%
32.3%
21.1%
39.1%
3.3%
16.4%
32.6%
-62.5%
50.0%
0.0%","4
2
9
6
3
4
3
9
5
10
10
3
3
14
8
18
1
2
18
6
1
2
10
2
14
3
3
7
1
2
5
2
0
11","100.0%
-50.0%
80.0%
20.0%
-40.0%
0.0%
-70.0%
125.0%
-37.5%
100.0%
25.0%
-40.0%
-25.0%
7.7%
-11.1%
12.5%
100.0%
100.0%
-37.9%
50.0%
0.0%
-50.0%
-16.7%
-60.0%
16.7%
-25.0%
-66.7%
75.0%
-66.7%
100.0%
25.0%
0.0%
-100.0%
-21.4%","10
33
18
11
8
13
20
14
18
24
28
14
15
79
29
37
46
22
9
38
8
28
25
46
6
9
0
9
19
9
64
0
4
2","-50.0%
13.8%
28.6%
22.2%
-42.9%
18.2%
0.0%
100.0%
-10.0%
-7.7%
-3.4%
-26.3%
-44.4%
17.9%
-17.1%
0.0%
-17.9%
-21.4%
-47.1%
15.2%
-50.0%
40.0%
19.0%
-11.5%
50.0%
-18.2%
-100.0%
-25.0%
26.7%
50.0%
0.0%
-100.0%
33.3%
100.0%","6
8
14
18
9
21
13
28
8
26
1
35
10
5
20
17
58
1
25
8
1
4
16
2
14
9
25
3
6
1
4
4
3
12
1
2","100.0%
0.0%
16.7%
12.5%
-50.0%
-38.2%
-38.1%
-22.2%
14.3%
-21.2%
100.0%
-7.9%
-44.4%
25.0%
11.1%
-29.2%
1.8%
100.0%
-10.7%
0.0%
0.0%
-20.0%
60.0%
-71.4%
0.0%
50.0%
0.0%
100.0%
50.0%
0.0%
100.0%
-20.0%
200.0%
33.3%
100.0%
0.0%","0
1
1
3
1
1
0
0
3
0
0
3
1
1
1
2
2
0
1
1
1
1
1
1","-100.0%
0.0%
0.0%
50.0%
0.0%
0.0%
-100.0%
-100.0%
200.0%
-100.0%
-100.0%
-50.0%
0.0%
100.0%
0.0%
100.0%
100.0%
-100.0%
100.0%
100.0%
100.0%
100.0%
100.0%
0.0%","2
72
0
50
9
24
14
30
4
110
31
200
18
2
172
19
267
3
2
6
8
5
1
5
13
236
9
8
288
0
37
35
134
7
1
0","100.0%
-8.9%
-100.0%
6.4%
12.5%
-11.1%
55.6%
87.5%
300.0%
3.8%
-11.4%
3.1%
5.9%
-66.7%
8.2%
111.1%
6.0%
200.0%
100.0%
0.0%
33.3%
25.0%
0.0%
0.0%
-7.1%
11.3%
28.6%
60.0%
10.8%
-100.0%
8.8%
29.6%
-1.5%
100.0%
100.0%
-100.0%","0
5
1
2
1
4
0
3
6
6
1
1
13
2
5
2
2
6
8
3
7
3
6
1
0
5
1
3
0","-100.0%
-37.5%
-50.0%
100.0%
-50.0%
-33.3%
-100.0%
0.0%
-25.0%
50.0%
-66.7%
0.0%
18.2%
0.0%
-44.4%
-50.0%
-33.3%
0.0%
0.0%
-25.0%
-30.0%
200.0%
100.0%
0.0%
-100.0%
66.7%
-50.0%
50.0%
-100.0%","169
334
115
204
141
194
148
241
150
417
35
577
192
221
842
225
713
5
5
321
160
11
137
430
0
62
418
20
326
966
48
143
26
118
289
85
217
4
28
6","-12.0%
-2.3%
30.7%
2.0%
-21.2%
-13.4%
-20.0%
21.7%
0.7%
-5.0%
-14.6%
-3.8%
-24.1%
12.8%
8.8%
-12.1%
2.1%
66.7%
66.7%
-28.0%
-8.0%
10.0%
-27.1%
5.7%
-100.0%
-35.4%
7.2%
11.1%
9.0%
1.6%
9.1%
24.3%
13.0%
28.3%
2.8%
30.8%
17.3%
-60.0%
47.4%
-14.3%",
,Subtotal,"5,444",-2.3%,201,-7.4%,715,-4.2%,438,-7.8%,26,-7.1%,"1,822",7.9%,97,-14.2%,"8,743",-1.1%,
G. Bush,BUSH,55,-6.8%,2,-33.3%,6,-14.3%,3,100.0%,1,0.0%,2,-33.3%,2,100.0%,68,-8.1%,
School of,INTA,38,100.0%,1,100.0%,10,100.0%,,,1,100.0%,3,100.0%,1,100.0%,57,100.0%,
Govt,Subtotal,93,57.6%,3,0.0%,16,128.6%,3,100.0%,2,100.0%,5,66.7%,3,200.0%,125,68.9%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
