Spring 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"6,448",1.8%,318,-0.3%,376,6.8%,,,"7,142",2.0%,
Gender,Female,"3,855",0.0%,171,-0.6%,152,8.6%,,,"4,178",0.3%,
,Male,"2,593",4.7%,147,0.0%,224,5.7%,,,"2,964",4.5%,
Ethnicity,White,"5,341",1.8%,199,-7.0%,236,0.4%,,,"5,776",1.4%,
,Black,149,-1.3%,9,200.0%,5,0.0%,,,163,2.5%,
,Hispanic,665,4.7%,28,21.7%,22,29.4%,,,715,5.9%,
,Asian,145,2.8%,10,66.7%,6,50.0%,,,161,6.6%,
,American Indian,32,-25.6%,2,100.0%,1,-50.0%,,,35,-22.2%,
,International,32,28.0%,59,-11.9%,97,16.9%,,,188,7.4%,
,Unknown/Other,84,-5.6%,11,83.3%,9,50.0%,,,104,3.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"3,086",-1.5%,2,100.0%,,,,,"3,088",-1.5%,
,22-25,"3,159",5.5%,108,-10.0%,15,87.5%,,,"3,282",5.2%,
,26-30,131,4.0%,128,17.4%,132,17.9%,,,391,12.7%,
,31-39,47,-13.0%,52,-11.9%,168,3.1%,,,267,-3.3%,
,40+,25,-3.8%,28,-6.7%,61,-11.6%,,,114,-8.8%,
Enrollment,1st Time in College,8,14.3%,,,,,,,8,14.3%,
Status,1st Time PB,1,0.0%,11,100.0%,,,,,12,1100.0%,
,1st Time Graduate,,,12,-33.3%,0,-100.0%,,,12,-36.8%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,212,8.2%,,,,,,,212,8.2%,
,Readmitted,75,56.3%,1,0.0%,1,100.0%,,,77,57.1%,
,Continuing,"6,152",1.2%,294,-2.0%,375,6.8%,,,"6,821",1.3%,
Tuition,Resident Tuition,"6,196",2.1%,167,7.7%,153,1.3%,,,"6,516",2.2%,
Status,Non-Resident Tuition,140,-2.8%,45,-15.1%,67,19.6%,,,252,-0.4%,
,Tuition Exemption/Waiver,112,-5.1%,106,-4.5%,156,7.6%,,,374,0.0%,
Residency,Texas Resident,"6,208",2.0%,170,9.0%,154,2.0%,,,"6,532",2.2%,
Status,"Non-TX, US Resident",207,-6.8%,91,-5.2%,124,6.0%,,,422,-3.0%,
,"Non-TX, Non-US Resident",33,26.9%,57,-14.9%,98,16.7%,,,188,6.2%,
SCH,< 6 SCH,82,12.3%,66,-2.9%,108,-12.2%,,,256,-3.0%,
Categories,6-8 SCH,222,9.9%,21,31.3%,23,76.9%,,,266,15.2%,
,9-11 SCH,450,14.2%,210,-3.7%,238,16.7%,,,898,10.0%,
,12-14 SCH,"3,556",7.2%,18,5.9%,6,-33.3%,,,"3,580",7.1%,
,15-17 SCH,"1,991",-8.7%,3,100.0%,0,-100.0%,,,"1,994",-8.7%,
,>17 SCH,147,-11.4%,,,1,100.0%,,,148,-10.8%,
Ft/Pt:,Less Than Half Time,75,10.3%,51,-15.0%,74,-22.9%,,,200,-10.7%,
TAMU,Half-Time,213,9.2%,36,50.0%,57,42.5%,,,306,18.1%,
Status,Three-Quarter Time,432,13.1%,,,,,,,432,13.1%,
,Full-Time,"5,728",0.7%,231,-1.7%,245,13.4%,,,"6,204",1.1%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,
