Spring 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,259",-5.2%,346,9.8%,94,-1.1%,,,"1,699",-2.2%,
Gender,Female,408,-8.5%,133,16.7%,28,16.7%,,,569,-2.6%,
,Male,851,-3.5%,213,6.0%,66,-7.0%,,,"1,130",-2.1%,
Ethnicity,White,"1,083",-4.2%,139,6.1%,26,-23.5%,,,"1,248",-3.6%,
,Black,12,-20.0%,4,100.0%,1,-66.7%,,,17,-15.0%,
,Hispanic,107,0.9%,15,7.1%,3,50.0%,,,125,2.5%,
,Asian,30,-3.2%,5,-37.5%,2,0.0%,,,37,-9.8%,
,American Indian,6,-33.3%,1,0.0%,,,,,7,-30.0%,
,International,7,-36.4%,175,12.2%,61,15.1%,,,243,10.5%,
,Unknown/Other,14,-46.2%,7,133.3%,1,0.0%,,,22,-26.7%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,536,-2.2%,,,,,,,536,-2.2%,
,22-25,670,-7.1%,130,13.0%,1,0.0%,,,801,-4.3%,
,26-30,36,-10.0%,163,18.1%,15,-6.3%,,,214,10.3%,
,31-39,12,-25.0%,46,-8.0%,57,7.5%,,,115,-3.4%,
,40+,5,66.7%,7,-41.7%,21,-16.0%,,,33,-17.5%,
Enrollment,1st Time in College,0,-100.0%,,,,,,,0,-100.0%,
Status,1st Time PB,,,4,100.0%,,,,,4,100.0%,
,1st Time Graduate,,,20,25.0%,0,-100.0%,,,20,11.1%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,30,-25.0%,,,,,,,30,-25.0%,
,Readmitted,4,-33.3%,0,-100.0%,1,0.0%,,,5,-54.5%,
,Continuing,"1,225",-4.3%,322,9.2%,93,1.1%,,,"1,640",-1.6%,
Tuition,Resident Tuition,"1,214",-4.9%,137,4.6%,27,-20.6%,,,"1,378",-4.4%,
Status,Non-Resident Tuition,29,7.4%,53,8.2%,20,-9.1%,,,102,4.1%,
,Tuition Exemption/Waiver,16,-33.3%,156,15.6%,47,20.5%,,,219,10.6%,
Residency,Texas Resident,"1,215",-4.9%,138,4.5%,27,-20.6%,,,"1,380",-4.4%,
Status,"Non-TX, US Resident",37,-7.5%,33,22.2%,4,-50.0%,,,74,-1.3%,
,"Non-TX, Non-US Resident",7,-36.4%,175,12.2%,63,18.9%,,,245,11.4%,
SCH,< 6 SCH,13,44.4%,35,-20.5%,24,-25.0%,,,72,-15.3%,
Categories,6-8 SCH,61,19.6%,13,8.3%,6,0.0%,,,80,15.9%,
,9-11 SCH,78,-19.6%,149,33.0%,58,28.9%,,,285,12.2%,
,12-14 SCH,718,-5.9%,109,2.8%,6,-40.0%,,,833,-5.2%,
,15-17 SCH,360,-4.8%,37,-7.5%,0,-100.0%,,,397,-5.3%,
,>17 SCH,29,-3.3%,3,200.0%,0,-100.0%,,,32,0.0%,
Ft/Pt:,Less Than Half Time,11,37.5%,31,-16.2%,22,-18.5%,,,64,-11.1%,
TAMU,Half-Time,58,16.0%,17,-10.5%,8,-27.3%,,,83,3.8%,
Status,Three-Quarter Time,71,-26.8%,,,,,,,71,-26.8%,
,Full-Time,"1,119",-4.6%,298,15.1%,64,12.3%,,,"1,481",-0.5%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,
