Spring 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,737",4.3%,294,6.9%,352,6.0%,,,"2,383",4.8%,
Gender,Female,"1,068",5.0%,125,21.4%,94,-6.9%,,,"1,287",5.4%,
,Male,669,3.1%,169,-1.7%,258,11.7%,,,"1,096",4.2%,
Ethnicity,White,"1,318",2.8%,141,11.9%,114,-4.2%,,,"1,573",3.0%,
,Black,54,0.0%,5,25.0%,3,0.0%,,,62,1.6%,
,Hispanic,220,23.6%,17,30.8%,8,14.3%,,,245,23.7%,
,Asian,111,0.9%,8,-11.1%,9,-10.0%,,,128,-0.8%,
,American Indian,6,100.0%,,,2,0.0%,,,8,60.0%,
,International,8,-20.0%,118,-1.7%,215,13.8%,,,341,6.9%,
,Unknown/Other,20,-31.0%,5,66.7%,1,-50.0%,,,26,-23.5%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,"1,108",1.7%,1,-50.0%,,,,,"1,109",1.6%,
,22-25,592,9.6%,120,-10.4%,32,-17.9%,,,744,4.3%,
,26-30,25,13.6%,98,18.1%,184,4.5%,,,307,9.3%,
,31-39,10,66.7%,48,20.0%,122,18.4%,,,180,20.8%,
,40+,2,-71.4%,27,68.8%,14,0.0%,,,43,16.2%,
Enrollment,1st Time in College,2,-71.4%,,,,,,,2,-71.4%,
Status,1st Time PB,0,-100.0%,14,100.0%,,,,,14,250.0%,
,1st Time Graduate,,,13,-13.3%,9,350.0%,,,22,29.4%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,48,54.8%,,,,,,,48,54.8%,
,Readmitted,5,-16.7%,,,,,,,5,-16.7%,
,Continuing,"1,682",4.0%,267,2.7%,343,3.9%,,,"2,292",3.8%,
Tuition,Resident Tuition,"1,638",4.2%,92,9.5%,55,1.9%,,,"1,785",4.4%,
Status,Non-Resident Tuition,49,19.5%,21,40.0%,36,24.1%,,,106,24.7%,
,Tuition Exemption/Waiver,50,-5.7%,181,2.8%,261,4.8%,,,492,2.9%,
Residency,Texas Resident,"1,646",4.4%,95,10.5%,55,0.0%,,,"1,796",4.6%,
Status,"Non-TX, US Resident",80,1.3%,78,14.7%,78,-7.1%,,,236,2.2%,
,"Non-TX, Non-US Resident",11,0.0%,121,0.0%,219,13.5%,,,351,8.0%,
SCH,< 6 SCH,10,-9.1%,40,100.0%,16,-23.8%,,,66,26.9%,
Categories,6-8 SCH,31,3.3%,20,11.1%,4,-55.6%,,,55,-3.5%,
,9-11 SCH,78,36.8%,220,2.8%,329,10.4%,,,627,10.2%,
,12-14 SCH,"1,093",4.2%,12,-45.5%,3,50.0%,,,"1,108",3.3%,
,15-17 SCH,489,0.6%,2,100.0%,0,-100.0%,,,491,0.4%,
,>17 SCH,36,9.1%,,,,,,,36,9.1%,
Ft/Pt:,Less Than Half Time,10,25.0%,36,100.0%,15,-21.1%,,,61,35.6%,
TAMU,Half-Time,26,0.0%,24,41.2%,5,0.0%,,,55,14.6%,
Status,Three-Quarter Time,70,42.9%,,,,,,,70,42.9%,
,Full-Time,"1,631",3.0%,234,-2.5%,332,7.8%,,,"2,197",3.1%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,
