Spring 2003,,Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
"Other - Special        BIOT Populations              MARM
MDSC OCRE PHLT REEP",,,,,,"1
27","9
20
8",2,,"6
11
5
11
1",,,,,,"8
11
14
1
31
36",
University,Subtotal Total,64,9,865,261,"28
32,839","37
182","2
325",6,"34
3,990",127,9,"2,954",2,486,"101
42,119",
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
