Spring 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,419,5.8%,158,-3.7%,107,-5.3%,,,684,1.6%,
Gender,Female,182,0.0%,65,4.8%,36,0.0%,,,283,1.1%,
,Male,237,10.7%,93,-8.8%,71,-7.8%,,,401,2.0%,
Ethnicity,White,370,6.3%,101,-9.0%,44,-2.2%,,,515,2.2%,
,Black,7,0.0%,,,,,,,7,0.0%,
,Hispanic,32,18.5%,9,50.0%,2,100.0%,,,43,26.5%,
,Asian,3,-25.0%,3,0.0%,1,-50.0%,,,7,-22.2%,
,American Indian,1,-50.0%,0,-100.0%,1,100.0%,,,2,-33.3%,
,International,1,-66.7%,41,5.1%,59,-9.2%,,,101,-5.6%,
,Unknown/Other,5,0.0%,4,0.0%,,,,,9,0.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,174,3.6%,0,-100.0%,,,,,174,3.0%,
,22-25,204,16.6%,61,17.3%,3,50.0%,,,268,17.0%,
,26-30,24,-27.3%,59,-13.2%,24,-7.7%,,,107,-15.7%,
,31-39,11,-21.4%,31,-8.8%,61,-7.6%,,,103,-9.6%,
,40+,6,0.0%,7,-22.2%,19,0.0%,,,32,-5.9%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,0,-100.0%,2,100.0%,,,,,2,100.0%,
,1st Time Graduate,,,4,-71.4%,1,-83.3%,,,5,-75.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,4,-63.6%,,,,,,,4,-63.6%,
,Readmitted,3,-50.0%,0,-100.0%,0,-100.0%,,,3,-66.7%,
,Continuing,412,9.0%,152,2.7%,106,0.0%,,,670,6.0%,
Tuition,Resident Tuition,398,8.7%,47,-23.0%,19,0.0%,,,464,4.0%,
Status,Non-Resident Tuition,7,-53.3%,20,-9.1%,17,-26.1%,,,44,-26.7%,
,Tuition Exemption/Waiver,14,-6.7%,91,12.3%,71,0.0%,,,176,5.4%,
Residency,Texas Resident,399,7.5%,46,-24.6%,19,-5.0%,,,464,2.7%,
Status,"Non-TX, US Resident",19,-13.6%,69,7.8%,29,7.4%,,,117,3.5%,
,"Non-TX, Non-US Resident",1,-66.7%,43,10.3%,59,-10.6%,,,103,-4.6%,
SCH,< 6 SCH,6,20.0%,28,3.7%,22,-12.0%,,,56,-1.8%,
Categories,6-8 SCH,22,214.3%,4,-42.9%,1,-66.7%,,,27,58.8%,
,9-11 SCH,17,-19.0%,99,-1.0%,81,-3.6%,,,197,-3.9%,
,12-14 SCH,219,-0.5%,23,-4.2%,1,0.0%,,,243,-0.8%,
,15-17 SCH,143,9.2%,4,-20.0%,2,100.0%,,,149,9.6%,
,>17 SCH,12,0.0%,0,-100.0%,,,,,12,-7.7%,
Ft/Pt:,Less Than Half Time,6,20.0%,27,42.1%,20,-16.7%,,,53,10.4%,
TAMU,Half-Time,21,200.0%,5,-66.7%,3,-25.0%,,,29,11.5%,
Status,Three-Quarter Time,14,-30.0%,,,,,,,14,-30.0%,
,Full-Time,378,3.8%,126,-3.1%,84,-1.2%,,,588,1.6%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,
