Spring 2003,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,33,57.1%,1,100.0%,2,100.0%,1,100.0%,1,0.0%,18,63.6%,2,-33.3%,55,52.8%,
,ENGS,4,100.0%,,,1,100.0%,,,,,,,,,6,100.0%,
,ENST,10,100.0%,,,1,100.0%,,,,,,,,,12,100.0%,
,ESCI,12,0.0%,,,1,-50.0%,,,,,,,,,13,-7.1%,
,GEOG,149,-2.0%,4,-33.3%,19,46.2%,0,-100.0%,,,17,88.9%,2,100.0%,192,4.9%,
,GEOL,118,-2.5%,,,9,0.0%,3,0.0%,,,21,-22.2%,2,-33.3%,153,-6.1%,
,GEOP,21,-8.7%,,,1,0.0%,1,-50.0%,1,0.0%,17,-37.0%,3,200.0%,44,-20.0%,
,GEOS,1,-66.7%,,,,,,,,,0,-100.0%,,,1,-75.0%,
,METR,127,1.6%,2,100.0%,8,33.3%,1,-50.0%,0,-100.0%,2,-33.3%,,,140,1.4%,
,OCNG,40,-14.9%,,,1,-50.0%,1,0.0%,,,26,-10.3%,0,-100.0%,68,-15.0%,
,Subtotal,515,2.2%,7,0.0%,43,26.5%,7,-22.2%,2,-33.3%,101,-5.6%,9,0.0%,684,1.6%,
Liberal Arts,AMST,22,69.2%,,,4,300.0%,,,1,100.0%,,,,,27,92.9%,
,ANTH,178,-9.2%,1,0.0%,27,3.8%,8,60.0%,1,-50.0%,11,-8.3%,5,150.0%,231,-5.3%,
,COML,,,,,,,,,,,1,100.0%,,,1,100.0%,
,ECON,562,5.8%,7,-22.2%,68,44.7%,34,54.5%,2,-50.0%,80,8.1%,10,-23.1%,763,9.0%,
,ENGL,579,2.1%,20,66.7%,51,10.9%,8,100.0%,4,0.0%,26,8.3%,12,20.0%,700,4.9%,
,FREN,6,-53.8%,,,2,100.0%,,,,,,,,,8,-38.5%,
,GERM,4,-42.9%,,,1,100.0%,1,0.0%,,,,,,,6,-25.0%,
,HIST,494,5.6%,9,-10.0%,57,-3.4%,4,-42.9%,6,-14.3%,1,100.0%,16,23.1%,587,4.1%,
,INTS,251,30.1%,8,-20.0%,54,12.5%,14,55.6%,1,100.0%,4,300.0%,5,150.0%,337,28.1%,
,JOUR,454,-31.6%,13,-35.0%,40,-31.0%,4,-66.7%,1,-80.0%,2,-60.0%,4,-50.0%,518,-32.9%,
,MODL,9,0.0%,,,6,20.0%,,,,,2,-33.3%,,,17,0.0%,
,MUSC,17,-5.6%,1,-50.0%,3,0.0%,,,,,,,,,21,-8.7%,
,PHIL,112,25.8%,1,100.0%,12,100.0%,3,-40.0%,,,3,200.0%,7,40.0%,138,30.2%,
,POLL,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,POLS,822,6.6%,27,80.0%,102,6.3%,19,11.8%,3,-57.1%,15,36.4%,11,0.0%,999,7.7%,
,PSYC,"1,202",4.0%,49,-2.0%,145,-3.3%,44,-2.2%,8,0.0%,13,30.0%,17,-5.6%,"1,478",2.9%,
,RUSS,8,-11.1%,,,1,100.0%,,,,,,,,,9,0.0%,
,SCOM,698,4.5%,10,-23.1%,71,2.9%,13,-7.1%,7,0.0%,5,0.0%,10,-28.6%,814,3.0%,
,SOCI,248,8.8%,14,16.7%,33,6.5%,9,0.0%,0,-100.0%,20,-13.0%,4,33.3%,328,6.8%,
,SPAN,41,5.1%,,,26,62.5%,0,-100.0%,,,0,-100.0%,1,0.0%,68,17.2%,
,STJR,10,25.0%,,,1,100.0%,,,,,5,0.0%,,,16,23.1%,
,TCMS,7,-46.2%,0,-100.0%,1,-66.7%,,,,,,,1,0.0%,9,-50.0%,
,THAR,52,44.4%,3,-25.0%,10,-9.1%,,,1,100.0%,,,1,100.0%,67,31.4%,
,Subtotal,"5,776",1.4%,163,2.5%,715,5.9%,161,6.6%,35,-22.2%,188,7.4%,104,3.0%,"7,142",2.0%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,,,,,,,
