Spring 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"34,038",-0.4%,"4,503",5.0%,"3,090",6.1%,488,-0.4%,"42,119",0.6%,
Gender,Female,"16,660",-0.3%,"1,874",7.9%,"1,131",7.2%,347,3.0%,"20,012",0.9%,
,Male,"17,378",-0.6%,"2,629",3.1%,"1,959",5.5%,141,-7.8%,"22,107",0.3%,
Ethnicity,White,"28,045",-0.3%,"2,386",4.6%,"1,301",0.9%,440,0.2%,"32,172",0.1%,
,Black,825,-0.8%,81,-9.0%,98,16.7%,,,"1,004",-0.1%,
,Hispanic,"3,053",1.8%,247,11.3%,148,8.8%,25,8.7%,"3,473",2.8%,
,Asian,"1,082",-4.7%,108,25.6%,56,16.7%,13,-27.8%,"1,259",-2.2%,
,American Indian,172,-2.8%,9,50.0%,9,0.0%,2,-50.0%,192,-2.0%,
,International,485,10.2%,"1,593",2.7%,"1,451",10.1%,,,"3,529",6.6%,
,Unknown/Other,376,-22.0%,79,49.1%,27,0.0%,8,33.3%,490,-13.7%,
TAMU Age,<18,3,50.0%,,,,,,,3,50.0%,
Categories,18-21,"18,480",0.1%,12,9.1%,4,100.0%,6,200.0%,"18,502",0.2%,
,22-25,"14,402",-0.7%,"2,029",8.5%,150,11.1%,219,-3.1%,"16,800",0.4%,
,26-30,774,-3.3%,"1,446",5.2%,"1,052",10.6%,197,1.0%,"3,469",4.5%,
,31-39,266,-11.0%,663,-3.2%,"1,273",3.7%,53,-3.6%,"2,255",-0.5%,
,40+,113,-2.6%,353,2.0%,611,2.0%,13,8.3%,"1,090",1.6%,
Enrollment,1st Time in College,64,-12.3%,,,,,,,64,-12.3%,
Status,1st Time PB,9,-67.9%,182,100.0%,,,,,191,582.1%,
,1st Time Graduate,,,325,8.0%,127,51.2%,,,452,17.4%,
,1st Time Professional,,,,,,,2,100.0%,2,100.0%,
,1st Time Transfer,865,12.9%,,,,,,,865,12.9%,
,Readmitted,261,0.8%,6,-68.4%,9,28.6%,,,276,-3.2%,
,Continuing,"32,839",-0.7%,"3,990",0.6%,"2,954",4.7%,486,-0.8%,"40,269",-0.2%,
Tuition,Resident Tuition,"32,328",-0.4%,"2,263",7.4%,"1,143",5.2%,466,-1.1%,"36,200",0.2%,
Status,Non-Resident Tuition,967,0.5%,524,-2.2%,392,-3.2%,7,-12.5%,"1,890",-1.1%,
,Tuition Exemption/Waiver,743,-1.3%,"1,716",4.4%,"1,555",9.4%,15,36.4%,"4,029",5.2%,
Residency,Texas Resident,"32,383",-0.5%,"2,282",6.9%,"1,145",4.9%,466,-1.1%,"36,276",0.1%,
Status,"Non-TX, US Resident","1,154",-3.2%,616,2.3%,481,-2.8%,22,15.8%,"2,273",-1.5%,
,"Non-TX, Non-US Resident",501,11.1%,"1,605",3.5%,"1,464",10.4%,,,"3,570",7.3%,
SCH,< 6 SCH,815,6.0%,655,-1.5%,688,-6.8%,,,"2,158",-0.6%,
Categories,6-8 SCH,"1,195",20.3%,442,13.9%,227,42.8%,,,"1,864",21.0%,
,9-11 SCH,"1,938",9.6%,"2,509",8.0%,"2,044",9.5%,,,"6,491",8.9%,
,12-14 SCH,"19,923",1.3%,657,-3.1%,114,-1.7%,0,-100.0%,"20,694",1.1%,
,15-17 SCH,"9,538",-7.3%,133,-37.3%,16,-48.4%,24,-25.0%,"9,711",-8.1%,
,>17 SCH,629,-9.4%,107,409.5%,1,0.0%,464,1.5%,"1,201",2.4%,
Ft/Pt:,Less Than Half Time,706,12.2%,560,1.6%,579,-7.4%,,,"1,845",2.2%,
TAMU,Half-Time,986,11.0%,535,8.7%,335,28.8%,,,"1,856",13.2%,
Status,Three-Quarter Time,"1,822",11.2%,,,,,,,"1,822",11.2%,
,Full-Time,"30,524",-1.6%,"3,408",5.1%,"2,176",7.4%,488,-0.4%,"36,596",-0.5%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,
