Spring 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"5,194",1.8%,643,3.5%,533,2.3%,,,"6,370",2.0%,
Gender,Female,"2,379",-0.9%,329,8.6%,196,6.5%,,,"2,904",0.6%,
,Male,"2,815",4.1%,314,-1.3%,337,0.0%,,,"3,466",3.2%,
Ethnicity,White,"4,492",1.8%,433,-3.8%,275,6.6%,,,"5,200",1.5%,
,Black,124,-2.4%,10,42.9%,2,-33.3%,,,136,-0.7%,
,Hispanic,385,14.2%,26,4.0%,17,0.0%,,,428,12.9%,
,Asian,58,-14.7%,7,-30.0%,16,0.0%,,,81,-13.8%,
,American Indian,34,0.0%,0,-100.0%,,,,,34,-2.9%,
,International,44,-13.7%,157,30.8%,219,-0.9%,,,420,7.1%,
,Unknown/Other,57,-21.9%,10,25.0%,4,-33.3%,,,71,-18.4%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"2,084",0.4%,,,,,,,"2,084",0.4%,
,22-25,"2,822",3.1%,294,1.7%,23,-11.5%,,,"3,139",2.9%,
,26-30,197,-3.4%,221,5.7%,198,6.5%,,,616,2.8%,
,31-39,65,-1.5%,93,2.2%,215,-4.4%,,,373,-2.4%,
,40+,26,13.0%,35,9.4%,97,15.5%,,,158,13.7%,
Enrollment,1st Time in College,1,0.0%,,,,,,,1,0.0%,
Status,1st Time PB,2,-71.4%,15,100.0%,,,,,17,142.9%,
,1st Time Graduate,,,71,14.5%,19,-5.0%,,,90,9.8%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,242,26.0%,,,,,,,242,26.0%,
,Readmitted,67,-15.2%,0,-100.0%,1,100.0%,,,68,-17.1%,
,Continuing,"4,882",1.2%,557,0.2%,513,2.4%,,,"5,952",1.2%,
Tuition,Resident Tuition,"4,968",2.0%,363,0.0%,200,12.4%,,,"5,531",2.2%,
Status,Non-Resident Tuition,111,-10.5%,54,-22.9%,61,-33.7%,,,226,-21.0%,
,Tuition Exemption/Waiver,115,3.6%,226,20.2%,272,8.4%,,,613,11.5%,
Residency,Texas Resident,"4,973",2.1%,367,0.8%,201,12.9%,,,"5,541",2.3%,
Status,"Non-TX, US Resident",173,-2.8%,118,-13.2%,112,-7.4%,,,403,-7.4%,
,"Non-TX, Non-US Resident",48,-11.1%,158,30.6%,220,-0.9%,,,426,7.3%,
SCH,< 6 SCH,90,8.4%,125,-17.2%,119,-3.3%,,,334,-6.4%,
Categories,6-8 SCH,232,13.7%,57,62.9%,30,-14.3%,,,319,16.4%,
,9-11 SCH,303,11.4%,413,9.5%,368,6.4%,,,"1,084",8.9%,
,12-14 SCH,"2,957",6.6%,46,-8.0%,13,8.3%,,,"3,016",6.3%,
,15-17 SCH,"1,456",-10.0%,2,-75.0%,3,-40.0%,,,"1,461",-10.4%,
,>17 SCH,156,2.6%,,,,,,,156,2.6%,
Ft/Pt:,Less Than Half Time,80,5.3%,100,-17.4%,100,-5.7%,,,280,-7.6%,
TAMU,Half-Time,207,9.5%,82,39.0%,48,0.0%,,,337,13.9%,
Status,Three-Quarter Time,299,12.4%,,,,,,,299,12.4%,
,Full-Time,"4,608",0.8%,461,4.5%,385,4.9%,,,"5,454",1.4%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,
