Demographic Summary,,,,,
Contract Students (not included in University enrollment) Spring 2003,,,,,
Spring 2003,,,,,
Undergraduate       Masters,,,,,
Grand,,,,,
Total,,,,,
Head Count,Total,1,11,12,
Gender,Male,1,11,12,
TAMU Age Categories,22-25,1,,1,
,31-39,,4,4,
,40+,,7,7,
Enrollment Status,Continuing,1,11,12,
Residency Status,Texas Resident,,6,6,
,"Non-TX, US Resident",,5,5,
,"Non-TX, Non-US Resident",1,,1,
SCH Categories,< 6 SCH,,1,1,
,6-8 SCH,,10,10,
,12-14 SCH,1,,1,
Ft/Pt: TAMU Status,Less Than Half Time,,1,1,
,Half-Time,,10,10,
,Full-Time,1,,1,
"Prepared by OISP, 08 Apr 03",,,,,
