Spring 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,125,68.9%,,,,,125,68.9%,
Gender,Female,,,60,76.5%,,,,,60,76.5%,
,Male,,,65,62.5%,,,,,65,62.5%,
Ethnicity,White,,,93,57.6%,,,,,93,57.6%,
,Black,,,3,0.0%,,,,,3,0.0%,
,Hispanic,,,16,128.6%,,,,,16,128.6%,
,Asian,,,3,100.0%,,,,,3,100.0%,
,American Indian,,,2,100.0%,,,,,2,100.0%,
,International,,,5,66.7%,,,,,5,66.7%,
,Unknown/Other,,,3,200.0%,,,,,3,200.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,1,100.0%,,,,,1,100.0%,
,22-25,,,72,67.4%,,,,,72,67.4%,
,26-30,,,27,22.7%,,,,,27,22.7%,
,31-39,,,16,220.0%,,,,,16,220.0%,
,40+,,,9,125.0%,,,,,9,125.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,20,100.0%,,,,,20,100.0%,
,1st Time Graduate,,,0,-100.0%,,,,,0,-100.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,105,43.8%,,,,,105,43.8%,
Tuition,Resident Tuition,,,88,95.6%,,,,,88,95.6%,
Status,Non-Resident Tuition,,,6,200.0%,,,,,6,200.0%,
,Tuition Exemption/Waiver,,,31,14.8%,,,,,31,14.8%,
Residency,Texas Resident,,,91,85.7%,,,,,91,85.7%,
Status,"Non-TX, US Resident",,,29,26.1%,,,,,29,26.1%,
,"Non-TX, Non-US Resident",,,5,150.0%,,,,,5,150.0%,
SCH,< 6 SCH,,,26,271.4%,,,,,26,271.4%,
Categories,6-8 SCH,,,13,18.2%,,,,,13,18.2%,
,9-11 SCH,,,10,11.1%,,,,,10,11.1%,
,12-14 SCH,,,64,64.1%,,,,,64,64.1%,
,15-17 SCH,,,11,37.5%,,,,,11,37.5%,
,>17 SCH,,,1,100.0%,,,,,1,100.0%,
Ft/Pt:,Less Than Half Time,,,25,257.1%,,,,,25,257.1%,
TAMU,Half-Time,,,14,27.3%,,,,,14,27.3%,
Status,Three-Quarter Time,,,,,,,,,,,
,Full-Time,,,86,53.6%,,,,,86,53.6%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,
