Spring 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,086",-0.1%,,,,,,,"3,086",-0.1%,
Gender,Female,"1,371",0.4%,,,,,,,"1,371",0.4%,
,Male,"1,715",-0.5%,,,,,,,"1,715",-0.5%,
Ethnicity,White,"2,503",-0.4%,,,,,,,"2,503",-0.4%,
,Black,114,4.6%,,,,,,,114,4.6%,
,Hispanic,322,1.9%,,,,,,,322,1.9%,
,Asian,84,-3.4%,,,,,,,84,-3.4%,
,American Indian,22,46.7%,,,,,,,22,46.7%,
,International,17,-10.5%,,,,,,,17,-10.5%,
,Unknown/Other,24,-20.0%,,,,,,,24,-20.0%,
TAMU Age,<18,2,100.0%,,,,,,,2,100.0%,
Categories,18-21,"2,913",0.3%,,,,,,,"2,913",0.3%,
,22-25,159,-4.8%,,,,,,,159,-4.8%,
,26-30,8,-42.9%,,,,,,,8,-42.9%,
,31-39,2,0.0%,,,,,,,2,0.0%,
,40+,2,100.0%,,,,,,,2,100.0%,
Enrollment,1st Time in College,16,0.0%,,,,,,,16,0.0%,
Status,1st Time PB,0,-100.0%,,,,,,,0,-100.0%,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,42,90.9%,,,,,,,42,90.9%,
,Readmitted,39,8.3%,,,,,,,39,8.3%,
,Continuing,"2,989",-0.8%,,,,,,,"2,989",-0.8%,
Tuition,Resident Tuition,"2,945",-0.6%,,,,,,,"2,945",-0.6%,
Status,Non-Resident Tuition,89,2.3%,,,,,,,89,2.3%,
,Tuition Exemption/Waiver,52,36.8%,,,,,,,52,36.8%,
Residency,Texas Resident,"2,955",-0.7%,,,,,,,"2,955",-0.7%,
Status,"Non-TX, US Resident",112,20.4%,,,,,,,112,20.4%,
,"Non-TX, Non-US Resident",19,-5.0%,,,,,,,19,-5.0%,
SCH,< 6 SCH,421,24.9%,,,,,,,421,24.9%,
Categories,6-8 SCH,59,47.5%,,,,,,,59,47.5%,
,9-11 SCH,84,29.2%,,,,,,,84,29.2%,
,12-14 SCH,"1,932",-5.9%,,,,,,,"1,932",-5.9%,
,15-17 SCH,581,0.0%,,,,,,,581,0.0%,
,>17 SCH,9,-25.0%,,,,,,,9,-25.0%,
Ft/Pt:,Less Than Half Time,420,25.0%,,,,,,,420,25.0%,
TAMU,Half-Time,59,47.5%,,,,,,,59,47.5%,
Status,Three-Quarter Time,84,29.2%,,,,,,,84,29.2%,
,Full-Time,"2,523",-4.7%,,,,,,,"2,523",-4.7%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,
