Spring 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,670",-3.8%,64,-4.5%,77,-6.1%,488,-0.4%,"2,299",-3.2%,
Gender,Female,"1,131",-0.4%,40,14.3%,37,-11.9%,347,3.0%,"1,555",0.3%,
,Male,539,-10.2%,24,-25.0%,40,0.0%,141,-7.8%,744,-9.8%,
Ethnicity,White,"1,325",-4.2%,43,0.0%,43,-15.7%,440,0.2%,"1,851",-3.4%,
,Black,33,-19.5%,1,-50.0%,1,0.0%,,,35,-20.5%,
,Hispanic,177,-2.7%,5,-28.6%,1,-50.0%,25,8.7%,208,-2.8%,
,Asian,96,10.3%,3,50.0%,3,200.0%,13,-27.8%,115,6.5%,
,American Indian,8,0.0%,,,,,2,-50.0%,10,-16.7%,
,International,9,28.6%,11,-8.3%,27,8.0%,,,47,6.8%,
,Unknown/Other,22,-21.4%,1,0.0%,2,0.0%,8,33.3%,33,-10.8%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,137",0.2%,,,,,6,200.0%,"1,143",0.5%,
,22-25,503,-11.1%,32,33.3%,1,-85.7%,219,-3.1%,755,-8.3%,
,26-30,19,-17.4%,15,-34.8%,32,39.1%,197,1.0%,263,-0.4%,
,31-39,9,0.0%,13,-23.5%,33,-10.8%,53,-3.6%,108,-8.5%,
,40+,2,-33.3%,4,33.3%,11,-26.7%,13,8.3%,30,-9.1%,
Enrollment,1st Time in College,6,0.0%,,,,,,,6,0.0%,
Status,1st Time PB,0,-100.0%,4,100.0%,,,,,4,0.0%,
,1st Time Graduate,,,5,-28.6%,0,-100.0%,,,5,-44.4%,
,1st Time Professional,,,,,,,2,100.0%,2,100.0%,
,1st Time Transfer,12,-20.0%,,,,,,,12,-20.0%,
,Readmitted,6,0.0%,1,100.0%,,,,,7,16.7%,
,Continuing,"1,646",-3.5%,54,-10.0%,77,-3.8%,486,-0.8%,"2,263",-3.1%,
Tuition,Resident Tuition,"1,609",-3.4%,45,-8.2%,30,-11.8%,466,-1.1%,"2,150",-3.2%,
Status,Non-Resident Tuition,37,-2.6%,6,-14.3%,7,-22.2%,7,-12.5%,57,-8.1%,
,Tuition Exemption/Waiver,24,-25.0%,13,18.2%,40,2.6%,15,36.4%,92,-1.1%,
Residency,Texas Resident,"1,610",-3.5%,47,-7.8%,30,-11.8%,466,-1.1%,"2,153",-3.2%,
Status,"Non-TX, US Resident",51,-15.0%,6,50.0%,19,-17.4%,22,15.8%,98,-7.5%,
,"Non-TX, Non-US Resident",9,28.6%,11,-8.3%,28,12.0%,,,48,9.1%,
SCH,< 6 SCH,7,-65.0%,14,-41.7%,15,-28.6%,,,36,-44.6%,
Categories,6-8 SCH,30,3.4%,8,-20.0%,5,25.0%,,,43,0.0%,
,9-11 SCH,74,-6.3%,42,35.5%,55,0.0%,,,171,3.6%,
,12-14 SCH,"1,087",2.7%,0,-100.0%,0,-100.0%,0,-100.0%,"1,087",2.4%,
,15-17 SCH,452,-11.9%,,,2,100.0%,24,-25.0%,478,-12.5%,
,>17 SCH,20,-45.9%,,,,,464,1.5%,484,-2.0%,
Ft/Pt:,Less Than Half Time,7,-58.8%,5,-61.5%,13,-23.5%,,,25,-46.8%,
TAMU,Half-Time,29,0.0%,17,-19.0%,7,-12.5%,,,53,-8.6%,
Status,Three-Quarter Time,73,-7.6%,,,,,,,73,-7.6%,
,Full-Time,"1,561",-3.1%,42,27.3%,57,0.0%,488,-0.4%,"2,148",-2.0%,
"Prepared by OISP, 08 Apr 03",,,,,,,,,,,,
