Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,
College Education,,,,,,,,,,,
Summer 2013,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                Total,"1,527",100.0%,432,100.0%,429,100.0%,,,"2,388",100.0%,
Female,"1,056",69.2%,328,75.9%,281,65.5%,,,"1,665",69.7%,
Male,471,30.8%,104,24.1%,148,34.5%,,,723,30.3%,
Ethnicity             White Only (NEW),"1,114",73.0%,293,67.8%,203,47.3%,,,"1,610",67.4%,
American Indian Only (NEW),3,.2%,1,.2%,1,.2%,,,5,.2%,
Asian Only (NEW),34,2.2%,12,2.8%,15,3.5%,,,61,2.6%,
Black Only + 2 or more/1 Black (NEW),83,5.4%,32,7.4%,72,16.8%,,,187,7.8%,
Hispanic or Latino of any Race (NEW),246,16.1%,55,12.7%,63,14.7%,,,364,15.2%,
Native Hawaii Only (New),,,,,,,,,,,
2 or More/Excluding Black (NEW),37,2.4%,7,1.6%,10,2.3%,,,54,2.3%,
International,9,.6%,28,6.5%,62,14.5%,,,99,4.1%,
Unknown or Not Reported,1,.1%,4,.9%,3,.7%,,,8,.3%,
TAMU Age         <18,,,,,,,,,,,
Categories          18-21,822,53.8%,8,1.9%,,,,,830,34.8%,
22-25,677,44.3%,194,44.9%,30,7.0%,,,901,37.7%,
26-30,14,.9%,100,23.1%,115,26.8%,,,229,9.6%,
31-39,10,.7%,92,21.3%,137,31.9%,,,239,10.0%,
40+,4,.3%,38,8.8%,147,34.3%,,,189,7.9%,
Enrollment         1st Time in College,22,1.4%,,,,,,,22,.9%,
Status                  1st Time Transfer,24,1.6%,,,,,,,24,1.0%,
1st Time Graduate,,,104,24.1%,9,2.1%,,,113,4.7%,
Readmitted,13,.9%,2,.5%,,,,,15,.6%,
Continuing,"1,468",96.1%,326,75.5%,420,97.9%,,,"2,214",92.7%,
Tuition Status    Resident Tuition,"1,487",97.4%,378,87.5%,312,72.7%,,,"2,177",91.2%,
Non-Resident Tuition,25,1.6%,32,7.4%,25,5.8%,,,82,3.4%,
Tuition Exemption/Waiver,15,1.0%,22,5.1%,92,21.4%,,,129,5.4%,
Residency           Texas Resident,"1,488",97.4%,384,88.9%,321,74.8%,,,"2,193",91.8%,
"Status                  Non-TX, US Resident",31,2.0%,19,4.4%,46,10.7%,,,96,4.0%,
"Non-TX, Non-US Resident",8,.5%,29,6.7%,62,14.5%,,,99,4.1%,
SCH                     < 6 SCH,668,43.7%,115,26.6%,184,42.9%,,,967,40.5%,
Categories          6-8 SCH,460,30.1%,150,34.7%,202,47.1%,,,812,34.0%,
9-11 SCH,208,13.6%,116,26.9%,37,8.6%,,,361,15.1%,
12-14 SCH,181,11.9%,47,10.9%,6,1.4%,,,234,9.8%,
15-17 SCH,9,.6%,4,.9%,,,,,13,.5%,
>17 SCH,1,.1%,,,,,,,1,.0%,
Ft/Pt:  TAMU    Less Than Half Time,528,34.6%,9,2.1%,100,23.3%,,,637,26.7%,
Status                  Half-Time,575,37.7%,109,25.2%,84,19.6%,,,768,32.2%,
Full-Time,424,27.8%,314,72.7%,245,57.1%,,,983,41.2%,
Top 10% Texas  No,"1,022",66.9%,400,92.6%,411,95.8%,,,"1,833",76.8%,
High School       Yes,505,33.1%,32,7.4%,18,4.2%,,,555,23.2%,
First                     No,"1,071",70.1%,260,60.2%,211,49.2%,,,"1,542",64.6%,
Generation         Unknown,38,2.5%,44,10.2%,65,15.2%,,,147,6.2%,
Yes,418,27.4%,128,29.6%,153,35.7%,,,699,29.3%,
"Table 7     Prepared by DARS, 9/5/2013",,,,,,,,,,,
