Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,
College Geosciences,,,,,,,,,,,,,,,,,,,,,,
Summer 2013,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,1,1,,,,,,,1,,1,,,,,,,1,1,2,
"TAMU Age              18-21
Categories",,,,,,,,,,,,,,,,,,,,,,
22-25,,1,1,,,,,,,1,,1,,,,,,,1,1,2,
26-30,,,,,,,,,,,,,,,,,,,,,,
31-39,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,,,,,,,,,
"Classification/De   Freshman
gree Objective",,,,,,,,,,,,,,,,,,,,,,
Sophomore,,,,,,,,,,,,,,,,,,,,,,
Junior,,1,1,,,,,,,1,,1,,,,,,,1,1,2,
Senior,,,,,,,,,,,,,,,,,,,,,,
Tuition Status         Resident Tuition,,1,1,,,,,,,1,,1,,,,,,,1,1,2,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,
Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
Residency Status    Texas Resident,,1,1,,,,,,,1,,1,,,,,,,1,1,2,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,
SCH Categories      < 6 SCH,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,1,1,,,,,,,,,,,,,,,,,1,1,
9-11 SCH,,,,,,,,,,1,,1,,,,,,,1,,1,
12-14 SCH,,,,,,,,,,,,,,,,,,,,,,
"Ft/Pt:  TAMU         Less Than Half Time
Status",,,,,,,,,,,,,,,,,,,,,,
Half-Time,,1,1,,,,,,,,,,,,,,,,,1,1,
Full-Time,,,,,,,,,,1,,1,,,,,,,1,,1,
"Top 10% Texas       No
High School",,1,1,,,,,,,1,,1,,,,,,,1,1,2,
Yes,,,,,,,,,,,,,,,,,,,,,,
First Generation    No,,,,,,,,,,1,,1,,,,,,,1,,1,
Unknown,,,,,,,,,,,,,,,,,,,,,,
Yes,,1,1,,,,,,,,,,,,,,,,,1,1,
"Dorm / Off-             Off-campus
campus students",,1,1,,,,,,,1,,1,,,,,,,1,1,2,
Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,
