Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,
College G. Bush School of Govt,,,,,,,,,,,
Summer 2013,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                Total,,,100,100.0%,,,,,100,100.0%,
Female,,,33,33.0%,,,,,33,33.0%,
Male,,,67,67.0%,,,,,67,67.0%,
Ethnicity             White Only (NEW),,,68,68.0%,,,,,68,68.0%,
American Indian Only (NEW),,,,,,,,,,,
Asian Only (NEW),,,3,3.0%,,,,,3,3.0%,
Black Only + 2 or more/1 Black (NEW),,,5,5.0%,,,,,5,5.0%,
Hispanic or Latino of any Race (NEW),,,15,15.0%,,,,,15,15.0%,
Native Hawaii Only (New),,,,,,,,,,,
2 or More/Excluding Black (NEW),,,3,3.0%,,,,,3,3.0%,
International,,,6,6.0%,,,,,6,6.0%,
Unknown or Not Reported,,,,,,,,,,,
TAMU Age         <18,,,,,,,,,,,
Categories          18-21,,,,,,,,,,,
22-25,,,21,21.0%,,,,,21,21.0%,
26-30,,,28,28.0%,,,,,28,28.0%,
31-39,,,20,20.0%,,,,,20,20.0%,
40+,,,31,31.0%,,,,,31,31.0%,
Enrollment         1st Time in College,,,,,,,,,,,
Status                  1st Time Transfer,,,,,,,,,,,
1st Time Graduate,,,37,37.0%,,,,,37,37.0%,
Readmitted,,,,,,,,,,,
Continuing,,,63,63.0%,,,,,63,63.0%,
Tuition Status    Resident Tuition,,,80,80.0%,,,,,80,80.0%,
Non-Resident Tuition,,,10,10.0%,,,,,10,10.0%,
Tuition Exemption/Waiver,,,10,10.0%,,,,,10,10.0%,
Residency           Texas Resident,,,82,82.0%,,,,,82,82.0%,
"Status                  Non-TX, US Resident",,,12,12.0%,,,,,12,12.0%,
"Non-TX, Non-US Resident",,,6,6.0%,,,,,6,6.0%,
SCH                     < 6 SCH,,,67,67.0%,,,,,67,67.0%,
Categories          6-8 SCH,,,26,26.0%,,,,,26,26.0%,
9-11 SCH,,,5,5.0%,,,,,5,5.0%,
12-14 SCH,,,2,2.0%,,,,,2,2.0%,
15-17 SCH,,,,,,,,,,,
>17 SCH,,,,,,,,,,,
Ft/Pt:  TAMU    Less Than Half Time,,,,,,,,,,,
Status                  Half-Time,,,67,67.0%,,,,,67,67.0%,
Full-Time,,,33,33.0%,,,,,33,33.0%,
Top 10% Texas  No,,,97,97.0%,,,,,97,97.0%,
High School       Yes,,,3,3.0%,,,,,3,3.0%,
First                     No,,,54,54.0%,,,,,54,54.0%,
Generation         Unknown,,,12,12.0%,,,,,12,12.0%,
Yes,,,34,34.0%,,,,,34,34.0%,
