Summer 2013,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,
Education           ATTR,9,4,,,,,4,2,,1,,,,,,,1,,14,7,21
BIED,2,,,,,,,,6,,,,,,,,,,8,,8
CPSY,9,2,,,2,,5,1,9,1,,,1,,,,,,26,4,30
EDAD,25,29,,,1,,15,8,19,8,,,,,,,1,,61,45,106
EDCI,158,43,2,,6,,26,7,16,5,,,7,,10,10,1,1,226,66,292
EDHL,123,16,1,,12,,12,,19,7,,,5,2,,,,,172,25,197
EDIS,72,4,,,,,1,1,14,5,,,2,,1,,1,,91,10,101
EDKI,95,47,1,,1,4,4,5,11,19,,,2,1,1,1,,,115,77,192
EDSM,27,52,,,,1,4,12,5,7,,,1,2,1,1,,,38,75,113
EHRD,33,20,,,5,1,7,4,10,5,,,1,,13,6,,,69,36,105
EPSY,36,5,,,3,,3,2,8,3,,,1,,16,7,,1,67,18,85
GENE,1,,,,,,,,,,,,,,,,,,1,,1
HEED,20,3,,,2,,4,3,6,3,,,2,,7,1,,,41,10,51
HLTH,110,12,,,3,,6,2,20,1,,,3,,1,,,,143,15,158
HRDL,27,7,,,2,1,1,1,8,2,,,1,,,,,,39,11,50
HRDV,55,12,1,,2,,2,2,12,5,,,1,1,1,,,,74,20,94
INST,208,11,,,,,6,,36,2,,,4,,,,,,254,13,267
KINE,66,66,,,3,2,2,6,21,12,,,5,6,4,12,,,101,104,205
NUTR,1,,,,,,,,,,,,,,,,,,1,,1
SPED,16,1,,,1,,,,1,,,,,,,,1,,19,1,20
SPMT,32,77,,,1,1,5,13,10,16,,,,2,3,1,,1,51,111,162
SPSY,15,3,,,3,,4,,7,,,,2,1,2,,,,33,4,37
TCMG,6,25,,,2,,1,4,4,9,,,,,,,,,13,38,51
TCML,3,20,,,1,1,,2,2,9,,,,1,,,,,6,33,39
USEH,2,,,,,,,,,,,,,,,,,,2,,2
Subtotal,"1,151",459,5,,50,11,112,75,244,120,,,38,16,60,39,5,3,"1,665",723,"2,388"
