Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,
College Education,,,,,,,,,,,,,,,,,,,,,,
Summer 2013,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,18,3,21,1,,1,,2,2,,,,,,,,,,19,5,24,
"TAMU Age              18-21
Categories",13,1,14,1,,1,,1,1,,,,,,,,,,14,2,16,
22-25,5,2,7,,,,,1,1,,,,,,,,,,5,3,8,
26-30,,,,,,,,,,,,,,,,,,,,,,
31-39,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,,,,,,,,,
"Classification/De   Freshman
gree Objective",,,,,,,,,,,,,,,,,,,,,,
Sophomore,6,,6,,,,,2,2,,,,,,,,,,6,2,8,
Junior,9,3,12,1,,1,,,,,,,,,,,,,10,3,13,
Senior,3,,3,,,,,,,,,,,,,,,,3,,3,
Tuition Status         Resident Tuition,17,3,20,1,,1,,2,2,,,,,,,,,,18,5,23,
Non-Resident Tuition,1,,1,,,,,,,,,,,,,,,,1,,1,
Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
Residency Status    Texas Resident,17,3,20,1,,1,,2,2,,,,,,,,,,18,5,23,
"Non-TX, US Resident",1,,1,,,,,,,,,,,,,,,,1,,1,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,
SCH Categories      < 6 SCH,9,,9,,,,,2,2,,,,,,,,,,9,2,11,
6-8 SCH,5,2,7,1,,1,,,,,,,,,,,,,6,2,8,
9-11 SCH,2,,2,,,,,,,,,,,,,,,,2,,2,
12-14 SCH,2,1,3,,,,,,,,,,,,,,,,2,1,3,
"Ft/Pt:  TAMU         Less Than Half Time
Status",7,,7,,,,,2,2,,,,,,,,,,7,2,9,
Half-Time,7,2,9,1,,1,,,,,,,,,,,,,8,2,10,
Full-Time,4,1,5,,,,,,,,,,,,,,,,4,1,5,
"Top 10% Texas       No
High School",18,2,20,1,,1,,2,2,,,,,,,,,,19,4,23,
Yes,,1,1,,,,,,,,,,,,,,,,,1,1,
First Generation    No,14,2,16,1,,1,,1,1,,,,,,,,,,15,3,18,
Unknown,,1,1,,,,,,,,,,,,,,,,,1,1,
Yes,4,,4,,,,,1,1,,,,,,,,,,4,1,5,
"Dorm / Off-             Off-campus
campus students",17,3,20,1,,1,,2,2,,,,,,,,,,18,5,23,
Dorm (On-campus),1,,1,,,,,,,,,,,,,,,,1,,1,
