Residency Status by Tuition Status by College,,,,,,,,,
(College Station Campus),,,,,,,,,
Summer 2013,Tuition Status,,,,,,,,
,Resident Tuition,,Non-Resident Tuition,,Tuition Exemption/Waiver,,Total,,
Agriculture                                 Texas Resident,"2,530",100.0%,7,4.5%,10,2.8%,"2,547",83.6%,
"Non-TX, US Resident",0,.0%,75,48.1%,175,48.7%,250,8.2%,
"Non-TX, Non-US Resident",0,.0%,74,47.4%,174,48.5%,248,8.1%,
Architecture                               Texas Resident,561,100.0%,2,3.3%,1,1.8%,564,83.1%,
"Non-TX, US Resident",0,.0%,9,14.8%,15,26.3%,24,3.5%,
"Non-TX, Non-US Resident",0,.0%,50,82.0%,41,71.9%,91,13.4%,
Business Admin                        Texas Resident,"1,714",100.0%,1,.9%,4,3.5%,"1,719",88.8%,
"Non-TX, US Resident",0,.0%,17,16.0%,49,42.6%,66,3.4%,
"Non-TX, Non-US Resident",0,.0%,88,83.0%,62,53.9%,150,7.8%,
Education                                   Texas Resident,"2,177",100.0%,12,14.6%,4,3.1%,"2,193",91.8%,
"Non-TX, US Resident",0,.0%,38,46.3%,58,45.0%,96,4.0%,
"Non-TX, Non-US Resident",0,.0%,32,39.0%,67,51.9%,99,4.1%,
Engineering                               Texas Resident,"2,291",100.0%,10,1.9%,18,1.8%,"2,319",60.6%,
"Non-TX, US Resident",0,.0%,45,8.5%,237,23.6%,282,7.4%,
"Non-TX, Non-US Resident",0,.0%,477,89.7%,749,74.6%,"1,226",32.0%,
G. Bush School of Govt            Texas Resident,80,100.0%,1,10.0%,1,10.0%,82,82.0%,
"Non-TX, US Resident",0,.0%,8,80.0%,4,40.0%,12,12.0%,
"Non-TX, Non-US Resident",0,.0%,1,10.0%,5,50.0%,6,6.0%,
Geosciences                               Texas Resident,284,100.0%,0,.0%,2,2.1%,286,67.3%,
"Non-TX, US Resident",0,.0%,19,40.4%,41,43.6%,60,14.1%,
"Non-TX, Non-US Resident",0,.0%,28,59.6%,51,54.3%,79,18.6%,
Liberal Arts                                Texas Resident,"2,095",100.0%,4,3.3%,6,2.7%,"2,105",86.4%,
"Non-TX, US Resident",0,.0%,49,40.5%,161,73.2%,210,8.6%,
"Non-TX, Non-US Resident",0,.0%,68,56.2%,53,24.1%,121,5.0%,
Science                                        Texas Resident,603,100.0%,1,1.1%,4,.9%,608,53.3%,
"Non-TX, US Resident",0,.0%,44,50.6%,144,32.0%,188,16.5%,
"Non-TX, Non-US Resident",0,.0%,42,48.3%,302,67.1%,344,30.2%,
Veterinary Medicine                Texas Resident,626,100.0%,1,6.7%,4,4.8%,631,87.2%,
"Non-TX, US Resident",0,.0%,10,66.7%,42,50.6%,52,7.2%,
"Non-TX, Non-US Resident",0,.0%,4,26.7%,37,44.6%,41,5.7%,
General Studies                         Texas Resident,686,100.0%,0,.0%,0,.0%,686,96.8%,
"Non-TX, US Resident",0,.0%,15,78.9%,4,100.0%,19,2.7%,
"Non-TX, Non-US Resident",0,.0%,4,21.1%,0,.0%,4,.6%,
Other - Special Populations    Texas Resident,16,100.0%,2,25.0%,0,.0%,18,60.0%,
"Non-TX, US Resident",0,.0%,2,25.0%,2,33.3%,4,13.3%,
"Non-TX, Non-US Resident",0,.0%,4,50.0%,4,66.7%,8,26.7%,
Total                                            Texas Resident,"13,663",100.0%,41,3.3%,54,2.1%,"13,758",78.9%,
"Non-TX, US Resident",0,.0%,331,26.6%,932,36.8%,"1,263",7.2%,
"Non-TX, Non-US Resident",0,.0%,872,70.1%,"1,545",61.0%,"2,417",13.9%,
"Table 11     Prepared by DARS, 9/5/2013",,,,,,,,,
