Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,
College Agriculture,,,,,,,,,,,
Summer 2013,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                Total,"2,294",100.0%,301,100.0%,450,100.0%,,,"3,045",100.0%,
Female,"1,260",54.9%,163,54.2%,215,47.8%,,,"1,638",53.8%,
Male,"1,034",45.1%,138,45.8%,235,52.2%,,,"1,407",46.2%,
Ethnicity             White Only (NEW),"1,662",72.4%,211,70.1%,199,44.2%,,,"2,072",68.0%,
American Indian Only (NEW),11,.5%,1,.3%,1,.2%,,,13,.4%,
Asian Only (NEW),59,2.6%,6,2.0%,12,2.7%,,,77,2.5%,
Black Only + 2 or more/1 Black (NEW),116,5.1%,3,1.0%,16,3.6%,,,135,4.4%,
Hispanic or Latino of any Race (NEW),339,14.8%,33,11.0%,42,9.3%,,,414,13.6%,
Native Hawaii Only (New),5,.2%,,,,,,,5,.2%,
2 or More/Excluding Black (NEW),49,2.1%,3,1.0%,1,.2%,,,53,1.7%,
International,28,1.2%,43,14.3%,177,39.3%,,,248,8.1%,
Unknown or Not Reported,25,1.1%,1,.3%,2,.4%,,,28,.9%,
TAMU Age         <18,,,,,,,,,,,
Categories          18-21,"1,093",47.6%,1,.3%,1,.2%,,,"1,095",36.0%,
22-25,"1,083",47.2%,158,52.5%,65,14.4%,,,"1,306",42.9%,
26-30,84,3.7%,88,29.2%,220,48.9%,,,392,12.9%,
31-39,24,1.0%,37,12.3%,130,28.9%,,,191,6.3%,
40+,10,.4%,17,5.6%,34,7.6%,,,61,2.0%,
Enrollment         1st Time in College,7,.3%,,,,,,,7,.2%,
Status                  1st Time Transfer,46,2.0%,,,,,,,46,1.5%,
1st Time Graduate,,,21,7.0%,16,3.6%,,,37,1.2%,
Readmitted,29,1.3%,4,1.3%,,,,,33,1.1%,
Continuing,"2,212",96.4%,276,91.7%,434,96.4%,,,"2,922",96.0%,
Tuition Status    Resident Tuition,"2,154",93.9%,202,67.1%,174,38.7%,,,"2,530",83.1%,
Non-Resident Tuition,74,3.2%,42,14.0%,40,8.9%,,,156,5.1%,
Tuition Exemption/Waiver,66,2.9%,57,18.9%,236,52.4%,,,359,11.8%,
Residency           Texas Resident,"2,159",94.1%,206,68.4%,182,40.4%,,,"2,547",83.6%,
"Status                  Non-TX, US Resident",107,4.7%,53,17.6%,90,20.0%,,,250,8.2%,
"Non-TX, Non-US Resident",28,1.2%,42,14.0%,178,39.6%,,,248,8.1%,
SCH                     < 6 SCH,940,41.0%,128,42.5%,63,14.0%,,,"1,131",37.1%,
Categories          6-8 SCH,841,36.7%,159,52.8%,378,84.0%,,,"1,378",45.3%,
9-11 SCH,332,14.5%,13,4.3%,7,1.6%,,,352,11.6%,
12-14 SCH,153,6.7%,1,.3%,2,.4%,,,156,5.1%,
15-17 SCH,23,1.0%,,,,,,,23,.8%,
>17 SCH,5,.2%,,,,,,,5,.2%,
Ft/Pt:  TAMU    Less Than Half Time,692,30.2%,63,20.9%,39,8.7%,,,794,26.1%,
Status                  Half-Time,"1,050",45.8%,67,22.3%,25,5.6%,,,"1,142",37.5%,
Full-Time,552,24.1%,171,56.8%,386,85.8%,,,"1,109",36.4%,
Top 10% Texas  No,"1,660",72.4%,282,93.7%,438,97.3%,,,"2,380",78.2%,
High School       Yes,634,27.6%,19,6.3%,12,2.7%,,,665,21.8%,
First                     No,"1,467",63.9%,178,59.1%,231,51.3%,,,"1,876",61.6%,
Generation         Unknown,104,4.5%,45,15.0%,95,21.1%,,,244,8.0%,
Yes,723,31.5%,78,25.9%,124,27.6%,,,925,30.4%,
"Table 7     Prepared by DARS, 9/5/2013",,,,,,,,,,,
