Texas A&M University Student Enrollment Summary,,,,,,,,
Student Head Count by Level (Distance Education Not Reported to THECB),,,,,,,,
"Distance Education, Summer 2013",,Masters,,Doctoral,,Total,,
,,#,%,#,%,#,%,
College,Total,200,100.0%,11,100.0%,211,100.0%,
Agriculture,,8,4.0%,3,27.3%,11,5.2%,
Architecture,,,,,,,,
Business Admin,,8,4.0%,,,8,3.8%,
Education,,16,8.0%,8,72.7%,24,11.4%,
Engineering,,18,9.0%,,,18,8.5%,
G. Bush School of Govt,,21,10.5%,,,21,10.0%,
Geosciences,,1,.5%,,,1,.5%,
Liberal Arts,,,,,,,,
Science,,128,64.0%,,,128,60.7%,
Other - Special Populations,,,,,,,,
Gender,Female,81,40.5%,9,81.8%,90,42.7%,
Male,,119,59.5%,2,18.2%,121,57.3%,
Ethnicity,White Only (NEW),119,59.5%,9,81.8%,128,60.7%,
Asian Only (NEW),,18,9.0%,,,18,8.5%,
Black Only + 2 or more/1 Black (NEW),,7,3.5%,,,7,3.3%,
Hispanic or Latino of any Race (NEW),,7,3.5%,,,7,3.3%,
2 or More/Excluding Black (NEW),,4,2.0%,,,4,1.9%,
International,,37,18.5%,2,18.2%,39,18.5%,
Unknown or Not Reported,,8,4.0%,,,8,3.8%,
TAMU Age,22-25,19,9.5%,,,19,9.0%,
Categories,26-30,57,28.5%,2,18.2%,59,28.0%,
31-39,,75,37.5%,7,63.6%,82,38.9%,
40+,,49,24.5%,2,18.2%,51,24.2%,
Enrollment,1st Time Graduate,49,24.5%,1,9.1%,50,23.7%,
Status,Readmitted,5,2.5%,,,5,2.4%,
Continuing,,146,73.0%,10,90.9%,156,73.9%,
SCH Categories,< 6 SCH,153,76.5%,4,36.4%,157,74.4%,
6-8 SCH,,39,19.5%,7,63.6%,46,21.8%,
9-11 SCH,,5,2.5%,,,5,2.4%,
12-14 SCH,,2,1.0%,,,2,.9%,
15-17 SCH,,1,.5%,,,1,.5%,
Ft/Pt:  TAMU,Less Than Half Time,13,6.5%,2,18.2%,15,7.1%,
Status,Half-Time,140,70.0%,2,18.2%,142,67.3%,
Full-Time,,47,23.5%,7,63.6%,54,25.6%,
Table 4,,,,,,,,
"Note:  Only those students Not Reported to THECB Prepared by DARS, 9/4/2013",,,,,,,,
