Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,
College Other - Special Populations,,,,,,,,,,,
Summer 2013,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                Total,12,100.0%,18,100.0%,,,,,30,100.0%,
Female,6,50.0%,11,61.1%,,,,,17,56.7%,
Male,6,50.0%,7,38.9%,,,,,13,43.3%,
Ethnicity             White Only (NEW),4,33.3%,10,55.6%,,,,,14,46.7%,
American Indian Only (NEW),,,,,,,,,,,
Asian Only (NEW),1,8.3%,3,16.7%,,,,,4,13.3%,
Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,
Hispanic or Latino of any Race (NEW),2,16.7%,1,5.6%,,,,,3,10.0%,
Native Hawaii Only (New),,,,,,,,,,,
2 or More/Excluding Black (NEW),,,,,,,,,,,
International,4,33.3%,4,22.2%,,,,,8,26.7%,
Unknown or Not Reported,1,8.3%,,,,,,,1,3.3%,
TAMU Age         <18,,,,,,,,,,,
Categories          18-21,8,66.7%,,,,,,,8,26.7%,
22-25,2,16.7%,3,16.7%,,,,,5,16.7%,
26-30,2,16.7%,7,38.9%,,,,,9,30.0%,
31-39,,,5,27.8%,,,,,5,16.7%,
40+,,,3,16.7%,,,,,3,10.0%,
Enrollment         1st Time in College,,,,,,,,,,,
Status                  1st Time Transfer,1,8.3%,,,,,,,1,3.3%,
1st Time Graduate,,,9,50.0%,,,,,9,30.0%,
Readmitted,,,,,,,,,,,
Continuing,11,91.7%,9,50.0%,,,,,20,66.7%,
Tuition Status    Resident Tuition,6,50.0%,10,55.6%,,,,,16,53.3%,
Non-Resident Tuition,6,50.0%,2,11.1%,,,,,8,26.7%,
Tuition Exemption/Waiver,,,6,33.3%,,,,,6,20.0%,
Residency           Texas Resident,8,66.7%,10,55.6%,,,,,18,60.0%,
"Status                  Non-TX, US Resident",,,4,22.2%,,,,,4,13.3%,
"Non-TX, Non-US Resident",4,33.3%,4,22.2%,,,,,8,26.7%,
SCH                     < 6 SCH,4,33.3%,18,100.0%,,,,,22,73.3%,
Categories          6-8 SCH,6,50.0%,,,,,,,6,20.0%,
9-11 SCH,2,16.7%,,,,,,,2,6.7%,
12-14 SCH,,,,,,,,,,,
15-17 SCH,,,,,,,,,,,
>17 SCH,,,,,,,,,,,
Ft/Pt:  TAMU    Less Than Half Time,3,25.0%,,,,,,,3,10.0%,
Status                  Half-Time,4,33.3%,18,100.0%,,,,,22,73.3%,
Full-Time,5,41.7%,,,,,,,5,16.7%,
Top 10% Texas  No,12,100.0%,18,100.0%,,,,,30,100.0%,
High School       Yes,,,,,,,,,,,
First                     No,5,41.7%,1,5.6%,,,,,6,20.0%,
Generation         Unknown,5,41.7%,15,83.3%,,,,,20,66.7%,
Yes,2,16.7%,2,11.1%,,,,,4,13.3%,
"Table 7     Prepared by DARS, 9/5/2013",,,,,,,,,,,
