Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,
University Total,,,,,,,,,,,,,,,,,,,,,,
Summer 2013,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,56,79,135,2,4,6,1,2,3,4,17,21,1,3,4,2,4,6,66,109,175,
"TAMU Age              18-21
Categories",44,51,95,2,3,5,1,1,2,3,9,12,1,3,4,1,2,3,52,69,121,
22-25,7,19,26,,1,1,,1,1,1,5,6,,,,1,1,2,9,27,36,
26-30,3,4,7,,,,,,,,3,3,,,,,1,1,3,8,11,
31-39,,4,4,,,,,,,,,,,,,,,,,4,4,
40+,2,1,3,,,,,,,,,,,,,,,,2,1,3,
"Classification/De   Freshman
gree Objective",,3,3,,,,,,,,1,1,,,,,,,,4,4,
Sophomore,30,38,68,,2,2,,2,2,,7,7,,2,2,1,,1,31,51,82,
Junior,21,35,56,2,1,3,1,,1,4,7,11,1,1,2,,3,3,29,47,76,
Senior,5,3,8,,1,1,,,,,2,2,,,,1,1,2,6,7,13,
Tuition Status         Resident Tuition,53,77,130,2,4,6,,2,2,4,17,21,1,3,4,,,,60,103,163,
Non-Resident Tuition,1,2,3,,,,1,,1,,,,,,,2,4,6,4,6,10,
Tuition Exemption/Waiver,2,,2,,,,,,,,,,,,,,,,2,,2,
Residency Status    Texas Resident,53,77,130,2,4,6,,2,2,4,17,21,1,3,4,,,,60,103,163,
"Non-TX, US Resident",3,2,5,,,,1,,1,,,,,,,,,,4,2,6,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,2,4,6,2,4,6,
SCH Categories      < 6 SCH,26,37,63,,3,3,,2,2,1,6,7,1,2,3,,1,1,28,51,79,
6-8 SCH,20,34,54,2,,2,1,,1,1,9,10,,,,1,2,3,25,45,70,
9-11 SCH,4,6,10,,1,1,,,,1,,1,,,,1,1,2,6,8,14,
12-14 SCH,6,2,8,,,,,,,1,2,3,,1,1,,,,7,5,12,
"Ft/Pt:  TAMU         Less Than Half Time
Status",21,33,54,,1,1,,2,2,1,6,7,,2,2,,,,22,44,66,
Half-Time,25,36,61,2,2,4,1,,1,1,9,10,1,,1,1,1,2,31,48,79,
Full-Time,10,10,20,,1,1,,,,2,2,4,,1,1,1,3,4,13,17,30,
"Top 10% Texas       No
High School",52,76,128,2,3,5,1,2,3,3,16,19,1,3,4,2,4,6,61,104,165,
Yes,4,3,7,,1,1,,,,1,1,2,,,,,,,5,5,10,
First Generation    No,38,52,90,1,2,3,,1,1,2,8,10,1,3,4,,,,42,66,108,
Unknown,,4,4,,,,1,,1,,,,,,,2,4,6,3,8,11,
Yes,18,23,41,1,2,3,,1,1,2,9,11,,,,,,,21,35,56,
"Dorm / Off-             Off-campus
campus students",54,74,128,2,3,5,1,2,3,4,15,19,1,3,4,2,4,6,64,101,165,
Dorm (On-campus),2,5,7,,1,1,,,,,2,2,,,,,,,2,8,10,
"Prepared by DARS, 06 Sep 13",,,,,,,,,,,,,,,,,,,,,,
