Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,,
Science                BIOL,2,2,14,16,34,,,1,1,,,35,
CHEM,,,1,5,6,1,1,10,10,,,17,
CLSC,,,,,,,,,,,,,
MATH,1,,2,2,5,,,1,1,,,6,
PHYS,1,2,,1,4,,,3,3,,,7,
STAT,,,,,,11,11,,,,,11,
Subtotal,4,4,17,24,49,12,12,15,15,,,76,
"Veterinary           CLVM
Medicine",3,2,14,35,54,,,,,2,2,56,
VIBS,,,,,,3,3,,,,,3,
VLCS,,,,,,,,,,,,,
VSCS,,,,,,,,,,,,,
VTPB,,,,,,,,1,1,,,1,
VTPP,,,,,,,,2,2,,,2,
Subtotal,3,2,14,35,54,3,3,3,3,2,2,62,
"General                GEST
Studies",20,12,3,,35,,,,,,,35,
Subtotal,20,12,3,,35,,,,,,,35,
"Other - Special   CLMD
Populations",,,,,,1,1,,,,,1,
MARB,,,1,,1,,,,,,,1,
MARS,,,,,,,,,,,,,
MART,,,,,,,,,,,,,
MASE,,,,,,,,,,,,,
SABX,,,,,,,,,,,,,
SRPH,,,,,,2,2,,,,,2,
Subtotal,,,1,,1,3,3,,,,,4,
University           Total,35,80,176,265,556,98,98,86,86,2,2,742,
"Prepared by DARS, 05 Sep 13",,,,,,,,,,,,,
