Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,
College Science,,,,,,,,,,,
Summer 2013,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                Total,493,100.0%,107,100.0%,540,100.0%,,,"1,140",100.0%,
Female,231,46.9%,32,29.9%,166,30.7%,,,429,37.6%,
Male,262,53.1%,75,70.1%,374,69.3%,,,711,62.4%,
Ethnicity             White Only (NEW),273,55.4%,61,57.0%,170,31.5%,,,504,44.2%,
American Indian Only (NEW),1,.2%,,,2,.4%,,,3,.3%,
Asian Only (NEW),49,9.9%,12,11.2%,15,2.8%,,,76,6.7%,
Black Only + 2 or more/1 Black (NEW),21,4.3%,4,3.7%,6,1.1%,,,31,2.7%,
Hispanic or Latino of any Race (NEW),97,19.7%,5,4.7%,29,5.4%,,,131,11.5%,
Native Hawaii Only (New),1,.2%,,,,,,,1,.1%,
2 or More/Excluding Black (NEW),10,2.0%,2,1.9%,6,1.1%,,,18,1.6%,
International,15,3.0%,21,19.6%,306,56.7%,,,342,30.0%,
Unknown or Not Reported,26,5.3%,2,1.9%,6,1.1%,,,34,3.0%,
TAMU Age         <18,,,,,1,.2%,,,1,.1%,
Categories          18-21,328,66.5%,,,,,,,328,28.8%,
22-25,155,31.4%,16,15.0%,154,28.5%,,,325,28.5%,
26-30,5,1.0%,45,42.1%,284,52.6%,,,334,29.3%,
31-39,4,.8%,30,28.0%,94,17.4%,,,128,11.2%,
40+,1,.2%,16,15.0%,7,1.3%,,,24,2.1%,
Enrollment         1st Time in College,3,.6%,,,,,,,3,.3%,
Status                  1st Time Transfer,6,1.2%,,,,,,,6,.5%,
1st Time Graduate,,,19,17.8%,5,.9%,,,24,2.1%,
Readmitted,3,.6%,,,,,,,3,.3%,
Continuing,481,97.6%,88,82.2%,535,99.1%,,,"1,104",96.8%,
Tuition Status    Resident Tuition,438,88.8%,72,67.3%,93,17.2%,,,603,52.9%,
Non-Resident Tuition,40,8.1%,15,14.0%,32,5.9%,,,87,7.6%,
Tuition Exemption/Waiver,15,3.0%,20,18.7%,415,76.9%,,,450,39.5%,
Residency           Texas Resident,439,89.0%,73,68.2%,96,17.8%,,,608,53.3%,
"Status                  Non-TX, US Resident",39,7.9%,13,12.1%,136,25.2%,,,188,16.5%,
"Non-TX, Non-US Resident",15,3.0%,21,19.6%,308,57.0%,,,344,30.2%,
SCH                     < 6 SCH,246,49.9%,72,67.3%,73,13.5%,,,391,34.3%,
Categories          6-8 SCH,181,36.7%,33,30.8%,457,84.6%,,,671,58.9%,
9-11 SCH,47,9.5%,2,1.9%,10,1.9%,,,59,5.2%,
12-14 SCH,17,3.4%,,,,,,,17,1.5%,
15-17 SCH,1,.2%,,,,,,,1,.1%,
>17 SCH,1,.2%,,,,,,,1,.1%,
Ft/Pt:  TAMU    Less Than Half Time,172,34.9%,16,15.0%,27,5.0%,,,215,18.9%,
Status                  Half-Time,230,46.7%,57,53.3%,48,8.9%,,,335,29.4%,
Full-Time,91,18.5%,34,31.8%,465,86.1%,,,590,51.8%,
Top 10% Texas  No,270,54.8%,106,99.1%,534,98.9%,,,910,79.8%,
High School       Yes,223,45.2%,1,.9%,6,1.1%,,,230,20.2%,
First                     No,317,64.3%,53,49.5%,241,44.6%,,,611,53.6%,
Generation         Unknown,62,12.6%,22,20.6%,160,29.6%,,,244,21.4%,
Yes,114,23.1%,32,29.9%,139,25.7%,,,285,25.0%,
"Table 7     Prepared by DARS, 9/5/2013",,,,,,,,,,,
