Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,
College Engineering,,,,,,,,,,,,,,,,,,,,,,
Summer 2013,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,11,11,,1,1,,,,,2,2,,1,1,1,2,3,1,17,18,
"TAMU Age              18-21
Categories",,6,6,,1,1,,,,,1,1,,1,1,,,,,9,9,
22-25,,3,3,,,,,,,,1,1,,,,1,1,2,1,5,6,
26-30,,1,1,,,,,,,,,,,,,,1,1,,2,2,
31-39,,1,1,,,,,,,,,,,,,,,,,1,1,
40+,,,,,,,,,,,,,,,,,,,,,,
"Classification/De   Freshman
gree Objective",,,,,,,,,,,,,,,,,,,,,,
Sophomore,,5,5,,1,1,,,,,,,,,,,,,,6,6,
Junior,,5,5,,,,,,,,,,,1,1,,1,1,,7,7,
Senior,,1,1,,,,,,,,2,2,,,,1,1,2,1,4,5,
Tuition Status         Resident Tuition,,11,11,,1,1,,,,,2,2,,1,1,,,,,15,15,
Non-Resident Tuition,,,,,,,,,,,,,,,,1,2,3,1,2,3,
Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
Residency Status    Texas Resident,,11,11,,1,1,,,,,2,2,,1,1,,,,,15,15,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,1,2,3,1,2,3,
SCH Categories      < 6 SCH,,2,2,,1,1,,,,,,,,1,1,,1,1,,5,5,
6-8 SCH,,7,7,,,,,,,,1,1,,,,1,1,2,1,9,10,
9-11 SCH,,2,2,,,,,,,,,,,,,,,,,2,2,
12-14 SCH,,,,,,,,,,,1,1,,,,,,,,1,1,
"Ft/Pt:  TAMU         Less Than Half Time
Status",,2,2,,,,,,,,,,,1,1,,,,,3,3,
Half-Time,,6,6,,1,1,,,,,1,1,,,,1,1,2,1,9,10,
Full-Time,,3,3,,,,,,,,1,1,,,,,1,1,,5,5,
"Top 10% Texas       No
High School",,11,11,,1,1,,,,,2,2,,1,1,1,2,3,1,17,18,
Yes,,,,,,,,,,,,,,,,,,,,,,
First Generation    No,,7,7,,1,1,,,,,1,1,,1,1,,,,,10,10,
Unknown,,,,,,,,,,,,,,,,1,2,3,1,2,3,
Yes,,4,4,,,,,,,,1,1,,,,,,,,5,5,
"Dorm / Off-             Off-campus
campus students",,8,8,,,,,,,,1,1,,1,1,1,2,3,1,12,13,
Dorm (On-campus),,3,3,,1,1,,,,,1,1,,,,,,,,5,5,
