Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,
College Business Admin,,,,,,,,,,,,,,,,,,,,,,,
Summer 2013,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,Grand Total,,,
,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,3,6,9,,,,,,,4,4,1,,1,,,,,,4,10,14,
"TAMU Age              18-21
Categories",3,6,9,,,,,,,4,4,1,,1,,,,,,4,10,14,
22-25,,,,,,,,,,,,,,,,,,,,,,,
"Classification/De   Freshman
gree Objective",3,5,8,,,,,,,4,4,1,,1,,,,,,4,9,13,
Sophomore,,1,1,,,,,,,,,,,,,,,,,,1,1,
Junior,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status         Resident Tuition,3,6,9,,,,,,,2,2,,,,,,,,,3,8,11,
Non-Resident Tuition,,,,,,,,,,2,2,1,,1,,,,,,1,2,3,
Residency Status    Texas Resident,3,6,9,,,,,,,2,2,,,,,,,,,3,8,11,
"Non-TX, US Resident",,,,,,,,,,2,2,1,,1,,,,,,1,2,3,
"Non-TX, Non-US
Resident",,,,,,,,,,,,,,,,,,,,,,,
SCH Categories      < 6 SCH,1,,1,,,,,,,,,,,,,,,,,1,,1,
6-8 SCH,2,6,8,,,,,,,3,3,1,,1,,,,,,3,9,12,
9-11 SCH,,,,,,,,,,1,1,,,,,,,,,,1,1,
12-14 SCH,,,,,,,,,,,,,,,,,,,,,,,
"Ft/Pt:  TAMU         Less Than Half Time
Status",1,,1,,,,,,,,,,,,,,,,,1,,1,
Half-Time,2,6,8,,,,,,,4,4,1,,1,,,,,,3,10,13,
Full-Time,,,,,,,,,,,,,,,,,,,,,,,
"Top 10% Texas       No
High School",2,4,6,,,,,,,4,4,1,,1,,,,,,3,8,11,
Yes,1,2,3,,,,,,,,,,,,,,,,,1,2,3,
First Generation    No,2,5,7,,,,,,,2,2,1,,1,,,,,,3,7,10,
Unknown,,,,,,,,,,1,1,,,,,,,,,,1,1,
Yes,1,1,2,,,,,,,1,1,,,,,,,,,1,2,3,
"Dorm / Off-             Off-campus
campus students",2,6,8,,,,,,,4,4,1,,1,,,,,,3,10,13,
Dorm (On-campus),1,,1,,,,,,,,,,,,,,,,,1,,1,
"Prepared by DARS, 06 Sep 13",,,,,,,,,,,,,,,,,,,,,,,
