Demographic Summary for Blinn TEAM Students,,,,,
(College Station Campus),,,,,
Summer 2013,U1: Freshmen,U2: Sophomore,U3: Junior,Grand Total,
Headcount Total,40,107,28,175,
Gender                Female,20,50,14,84,
Male,20,57,14,91,
Ethnicity             White Only (NEW),32,82,22,136,
American Indian Only (NEW),1,,,1,
Asian Only (NEW),,7,2,9,
Hispanic or Latino of any Race (NEW),7,16,4,27,
2 or More/Excluding Black (NEW),,2,,2,
"TAMU Age          18-21
Categories",40,107,28,175,
"Enrollment         Continuing
Status",40,107,28,175,
Tuition Status    Resident Tuition,39,105,27,171,
Non-Resident Tuition,1,1,1,3,
Tuition Exemption/Waiver,,1,,1,
"Residency           Texas Resident
Status",39,105,27,171,
"Non-TX, US Resident",1,2,1,4,
"SCH                      < 6 SCH
Categories",34,92,17,143,
6-8 SCH,6,15,11,32,
"Ft/Pt: TAMU    Less Than Half Time
Status",27,74,15,116,
Half-Time,13,32,13,58,
Full-Time,,1,,1,
"First                     No
Generation",31,84,17,132,
Unknown,1,,,1,
Yes,8,23,11,42,
"Prepared by DARS, 06 Sep 13",,,,,
