Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,
College Geosciences,,,,,,,,,,,
Summer 2013,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                Total,252,100.0%,63,100.0%,110,100.0%,,,425,100.0%,
Female,93,36.9%,25,39.7%,45,40.9%,,,163,38.4%,
Male,159,63.1%,38,60.3%,65,59.1%,,,262,61.6%,
Ethnicity             White Only (NEW),180,71.4%,45,71.4%,47,42.7%,,,272,64.0%,
American Indian Only (NEW),1,.4%,,,1,.9%,,,2,.5%,
Asian Only (NEW),7,2.8%,1,1.6%,1,.9%,,,9,2.1%,
Black Only + 2 or more/1 Black (NEW),8,3.2%,2,3.2%,1,.9%,,,11,2.6%,
Hispanic or Latino of any Race (NEW),28,11.1%,5,7.9%,1,.9%,,,34,8.0%,
Native Hawaii Only (New),,,,,,,,,,,
2 or More/Excluding Black (NEW),7,2.8%,1,1.6%,1,.9%,,,9,2.1%,
International,11,4.4%,9,14.3%,57,51.8%,,,77,18.1%,
Unknown or Not Reported,10,4.0%,,,1,.9%,,,11,2.6%,
TAMU Age         <18,,,,,,,,,,,
Categories          18-21,118,46.8%,,,,,,,118,27.8%,
22-25,121,48.0%,24,38.1%,19,17.3%,,,164,38.6%,
26-30,10,4.0%,27,42.9%,51,46.4%,,,88,20.7%,
31-39,3,1.2%,11,17.5%,34,30.9%,,,48,11.3%,
40+,,,1,1.6%,6,5.5%,,,7,1.6%,
Enrollment         1st Time in College,,,,,,,,,,,
Status                  1st Time Transfer,2,.8%,,,,,,,2,.5%,
1st Time Graduate,,,2,3.2%,2,1.8%,,,4,.9%,
Readmitted,3,1.2%,,,,,,,3,.7%,
Continuing,247,98.0%,61,96.8%,108,98.2%,,,416,97.9%,
Tuition Status    Resident Tuition,227,90.1%,34,54.0%,23,20.9%,,,284,66.8%,
Non-Resident Tuition,21,8.3%,11,17.5%,15,13.6%,,,47,11.1%,
Tuition Exemption/Waiver,4,1.6%,18,28.6%,72,65.5%,,,94,22.1%,
Residency           Texas Resident,227,90.1%,35,55.6%,24,21.8%,,,286,67.3%,
"Status                  Non-TX, US Resident",14,5.6%,19,30.2%,27,24.5%,,,60,14.1%,
"Non-TX, Non-US Resident",11,4.4%,9,14.3%,59,53.6%,,,79,18.6%,
SCH                     < 6 SCH,109,43.3%,33,52.4%,30,27.3%,,,172,40.5%,
Categories          6-8 SCH,106,42.1%,29,46.0%,77,70.0%,,,212,49.9%,
9-11 SCH,29,11.5%,1,1.6%,1,.9%,,,31,7.3%,
12-14 SCH,8,3.2%,,,2,1.8%,,,10,2.4%,
15-17 SCH,,,,,,,,,,,
>17 SCH,,,,,,,,,,,
Ft/Pt:  TAMU    Less Than Half Time,87,34.5%,19,30.2%,17,15.5%,,,123,28.9%,
Status                  Half-Time,124,49.2%,14,22.2%,13,11.8%,,,151,35.5%,
Full-Time,41,16.3%,30,47.6%,80,72.7%,,,151,35.5%,
Top 10% Texas  No,161,63.9%,61,96.8%,105,95.5%,,,327,76.9%,
High School       Yes,91,36.1%,2,3.2%,5,4.5%,,,98,23.1%,
First                     No,165,65.5%,41,65.1%,52,47.3%,,,258,60.7%,
Generation         Unknown,29,11.5%,10,15.9%,21,19.1%,,,60,14.1%,
Yes,58,23.0%,12,19.0%,37,33.6%,,,107,25.2%,
"Table 7     Prepared by DARS, 9/5/2013",,,,,,,,,,,
