Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,
College Other - Special Populations,,,,,,,,,,,,,,,,,,,,,,
Summer 2013,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,,,,,,,,,,1,1,,,,,,,,1,1,
"TAMU Age              18-21
Categories",,,,,,,,,,,,,,,,,,,,,,
22-25,,,,,,,,,,,,,,,,,,,,,,
26-30,,,,,,,,,,,1,1,,,,,,,,1,1,
31-39,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,,,,,,,,,
"Classification/De   Freshman
gree Objective",,,,,,,,,,,1,1,,,,,,,,1,1,
Sophomore,,,,,,,,,,,,,,,,,,,,,,
Junior,,,,,,,,,,,,,,,,,,,,,,
Senior,,,,,,,,,,,,,,,,,,,,,,
Tuition Status         Resident Tuition,,,,,,,,,,,1,1,,,,,,,,1,1,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,
Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
Residency Status    Texas Resident,,,,,,,,,,,1,1,,,,,,,,1,1,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,
SCH Categories      < 6 SCH,,,,,,,,,,,1,1,,,,,,,,1,1,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,,,,,,,,,,,,,,,,,,,,,,
"Ft/Pt:  TAMU         Less Than Half Time
Status",,,,,,,,,,,1,1,,,,,,,,1,1,
Half-Time,,,,,,,,,,,,,,,,,,,,,,
Full-Time,,,,,,,,,,,,,,,,,,,,,,
"Top 10% Texas       No
High School",,,,,,,,,,,1,1,,,,,,,,1,1,
Yes,,,,,,,,,,,,,,,,,,,,,,
First Generation    No,,,,,,,,,,,,,,,,,,,,,,
Unknown,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,,,,1,1,,,,,,,,1,1,
"Dorm / Off-             Off-campus
campus students",,,,,,,,,,,1,1,,,,,,,,1,1,
Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 06 Sep 13",,,,,,,,,,,,,,,,,,,,,,
