College Business Admin,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,
Summer 2013,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,7,18,25,1,1,2,,,,,3,3,,,,,,,8,22,30,
"TAMU Age              18-21
Categories",5,13,18,1,1,2,,,,,2,2,,,,,,,6,16,22,
22-25,1,3,4,,,,,,,,1,1,,,,,,,1,4,5,
26-30,,,,,,,,,,,,,,,,,,,,,,
31-39,,2,2,,,,,,,,,,,,,,,,,2,2,
40+,1,,1,,,,,,,,,,,,,,,,1,,1,
"Classification/De   Freshman
gree Objective",,,,,,,,,,,,,,,,,,,,,,
Sophomore,3,7,10,,1,1,,,,,2,2,,,,,,,3,10,13,
Junior,2,11,13,1,,1,,,,,1,1,,,,,,,3,12,15,
Senior,2,,2,,,,,,,,,,,,,,,,2,,2,
Tuition Status         Resident Tuition,7,18,25,1,1,2,,,,,3,3,,,,,,,8,22,30,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,
Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
Residency Status    Texas Resident,7,18,25,1,1,2,,,,,3,3,,,,,,,8,22,30,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,
SCH Categories      < 6 SCH,3,7,10,,1,1,,,,,,,,,,,,,3,8,11,
6-8 SCH,4,9,13,1,,1,,,,,3,3,,,,,,,5,12,17,
9-11 SCH,,2,2,,,,,,,,,,,,,,,,,2,2,
12-14 SCH,,,,,,,,,,,,,,,,,,,,,,
"Ft/Pt:  TAMU         Less Than Half Time
Status",2,7,9,,,,,,,,,,,,,,,,2,7,9,
Half-Time,5,9,14,1,1,2,,,,,3,3,,,,,,,6,13,19,
Full-Time,,2,2,,,,,,,,,,,,,,,,,2,2,
"Top 10% Texas       No
High School",5,18,23,1,1,2,,,,,3,3,,,,,,,6,22,28,
Yes,2,,2,,,,,,,,,,,,,,,,2,,2,
First Generation    No,5,13,18,,,,,,,,1,1,,,,,,,5,14,19,
Unknown,,,,,,,,,,,,,,,,,,,,,,
Yes,2,5,7,1,1,2,,,,,2,2,,,,,,,3,8,11,
"Dorm / Off-             Off-campus
campus students",7,16,23,1,1,2,,,,,2,2,,,,,,,8,19,27,
Dorm (On-campus),,2,2,,,,,,,,1,1,,,,,,,,3,3,
