Demographic Summary,,,,,
First Generation FTIC Students  (College Station Campus),,,,,
Summer 2013,First Generation Undergraduates,,,Grand Total,
,Unknown,Yes,No,,
Headcount Total,22,119,320,461,
Gender                Female,8,65,155,228,
Male,14,54,165,233,
Ethnicity             White Only (NEW),8,45,239,292,
American Indian Only (NEW),,,1,1,
Asian Only (NEW),,12,6,18,
Black Only + 2 or more/1 Black (NEW),9,12,9,30,
Hispanic or Latino of any Race (NEW),4,45,59,108,
2 or More/Excluding Black (NEW),,5,6,11,
International,1,,,1,
TAMU Age          18-21,22,119,319,460,
Categories           22-25,,,1,1,
College                Agriculture,1,,6,7,
Architecture,1,2,1,4,
Business Admin,1,3,10,14,
Education,3,6,13,22,
Engineering,,,4,4,
Liberal Arts,1,2,3,6,
Science,1,1,1,3,
Veterinary Medicine,,,1,1,
General Studies,14,105,281,400,
Enrollment         1st Time in College,22,119,320,461,
Tuition Status    Resident Tuition,19,117,300,436,
Non-Resident Tuition,3,2,20,25,
Residency           Texas Resident,19,117,300,436,
"Status                  Non-TX, US Resident",2,2,19,23,
"Non-TX, Non-US Resident",1,,1,2,
SCH                      < 6 SCH,,,2,2,
Categories           6-8 SCH,21,118,318,457,
9-11 SCH,1,,,1,
12-14 SCH,,1,,1,
Ft/Pt: TAMU    Less Than Half Time,,,2,2,
Status                  Half-Time,21,118,318,457,
Full-Time,1,1,,2,
Top 10% Texas   No,22,112,312,446,
High School        Yes,,7,8,15,
"Prepared by DARS, 06 Sep 13",,,,,
