Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,
College Engineering,,,,,,,,,,,,,,,,,,,,,,,
Summer 2013,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,Grand Total,,,
,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,,4,4,,,,,,,,,,,,,,,,,,4,4,
"TAMU Age              18-21
Categories",,4,4,,,,,,,,,,,,,,,,,,4,4,
22-25,,,,,,,,,,,,,,,,,,,,,,,
"Classification/De   Freshman
gree Objective",,3,3,,,,,,,,,,,,,,,,,,3,3,
Sophomore,,1,1,,,,,,,,,,,,,,,,,,1,1,
Junior,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status         Resident Tuition,,3,3,,,,,,,,,,,,,,,,,,3,3,
Non-Resident Tuition,,1,1,,,,,,,,,,,,,,,,,,1,1,
Residency Status    Texas Resident,,3,3,,,,,,,,,,,,,,,,,,3,3,
"Non-TX, US Resident",,1,1,,,,,,,,,,,,,,,,,,1,1,
"Non-TX, Non-US
Resident",,,,,,,,,,,,,,,,,,,,,,,
SCH Categories      < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,4,4,,,,,,,,,,,,,,,,,,4,4,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,,,,,,,,,,,,,,,,,,,,,,,
"Ft/Pt:  TAMU         Less Than Half Time
Status",,,,,,,,,,,,,,,,,,,,,,,
Half-Time,,4,4,,,,,,,,,,,,,,,,,,4,4,
Full-Time,,,,,,,,,,,,,,,,,,,,,,,
"Top 10% Texas       No
High School",,3,3,,,,,,,,,,,,,,,,,,3,3,
Yes,,1,1,,,,,,,,,,,,,,,,,,1,1,
First Generation    No,,4,4,,,,,,,,,,,,,,,,,,4,4,
Unknown,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,
"Dorm / Off-             Off-campus
campus students",,3,3,,,,,,,,,,,,,,,,,,3,3,
Dorm (On-campus),,1,1,,,,,,,,,,,,,,,,,,1,1,
"Prepared by DARS, 06 Sep 13",,,,,,,,,,,,,,,,,,,,,,,
