Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,
College Liberal Arts,,,,,,,,,,,,,,,,,,,,,,
Summer 2013,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,14,7,21,,2,2,,,,2,4,6,,,,,,,16,13,29,
"TAMU Age              18-21
Categories",12,5,17,,1,1,,,,2,3,5,,,,,,,14,9,23,
22-25,,,,,1,1,,,,,,,,,,,,,,1,1,
26-30,2,1,3,,,,,,,,1,1,,,,,,,2,2,4,
31-39,,,,,,,,,,,,,,,,,,,,,,
40+,,1,1,,,,,,,,,,,,,,,,,1,1,
"Classification/De   Freshman
gree Objective",,,,,,,,,,,,,,,,,,,,,,
Sophomore,11,4,15,,,,,,,,3,3,,,,,,,11,7,18,
Junior,3,3,6,,1,1,,,,2,1,3,,,,,,,5,5,10,
Senior,,,,,1,1,,,,,,,,,,,,,,1,1,
Tuition Status         Resident Tuition,13,7,20,,2,2,,,,2,4,6,,,,,,,15,13,28,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,
Tuition Exemption/Waiver,1,,1,,,,,,,,,,,,,,,,1,,1,
Residency Status    Texas Resident,13,7,20,,2,2,,,,2,4,6,,,,,,,15,13,28,
"Non-TX, US Resident",1,,1,,,,,,,,,,,,,,,,1,,1,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,
SCH Categories      < 6 SCH,7,4,11,,1,1,,,,1,1,2,,,,,,,8,6,14,
6-8 SCH,3,2,5,,,,,,,,3,3,,,,,,,3,5,8,
9-11 SCH,2,1,3,,1,1,,,,,,,,,,,,,2,2,4,
12-14 SCH,2,,2,,,,,,,1,,1,,,,,,,3,,3,
"Ft/Pt:  TAMU         Less Than Half Time
Status",5,3,8,,1,1,,,,1,1,2,,,,,,,6,5,11,
Half-Time,5,3,8,,,,,,,,3,3,,,,,,,5,6,11,
Full-Time,4,1,5,,1,1,,,,1,,1,,,,,,,5,2,7,
"Top 10% Texas       No
High School",14,7,21,,1,1,,,,2,4,6,,,,,,,16,12,28,
Yes,,,,,1,1,,,,,,,,,,,,,,1,1,
First Generation    No,8,3,11,,1,1,,,,1,3,4,,,,,,,9,7,16,
Unknown,,1,1,,,,,,,,,,,,,,,,,1,1,
Yes,6,3,9,,1,1,,,,1,1,2,,,,,,,7,5,12,
"Dorm / Off-             Off-campus
campus students",14,7,21,,2,2,,,,2,4,6,,,,,,,16,13,29,
Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,
