Texas A&M University Student Enrollment Summary,,,,,,,,,
Student Head Count by Level (Galveston) Reported to THECB as Texas A&M--Galveston,,,,,,,,,
"Galveston, Summer 2013",Undergraduate,,Masters,,Doctoral,,Total,,
,#,%,#,%,#,%,#,%,
College                     Total,682,100.0%,40,100.0%,22,100.0%,744,100.0%,
Agriculture,7,1.0%,2,5.0%,2,9.1%,11,1.5%,
Business Admin,2,.3%,,,,,2,.3%,
Education,1,.1%,,,,,1,.1%,
Engineering,2,.3%,,,,,2,.3%,
Geosciences,2,.3%,,,1,4.5%,3,.4%,
Liberal Arts,,,2,5.0%,1,4.5%,3,.4%,
General Studies,1,.1%,,,,,1,.1%,
Other - Special Populations,667,97.8%,36,90.0%,18,81.8%,721,96.9%,
Gender                     Female,199,29.2%,13,32.5%,15,68.2%,227,30.5%,
Male,483,70.8%,27,67.5%,7,31.8%,517,69.5%,
Ethnicity                 White Only (NEW),522,76.5%,37,92.5%,13,59.1%,572,76.9%,
American Indian Only (NEW),3,.4%,,,,,3,.4%,
Asian Only (NEW),8,1.2%,,,,,8,1.1%,
Black Only + 2 or more/1 Black (NEW),27,4.0%,,,,,27,3.6%,
Hispanic or Latino of any Race (NEW),94,13.8%,3,7.5%,1,4.5%,98,13.2%,
Native Hawaii Only (New),3,.4%,,,,,3,.4%,
2 or More/Excluding Black (NEW),16,2.3%,,,,,16,2.2%,
International,5,.7%,,,8,36.4%,13,1.7%,
Unknown or Not Reported,4,.6%,,,,,4,.5%,
TAMU Age              18-21,328,48.1%,,,,,328,44.1%,
Categories              22-25,222,32.6%,14,35.0%,3,13.6%,239,32.1%,
26-30,78,11.4%,17,42.5%,11,50.0%,106,14.2%,
31-39,36,5.3%,5,12.5%,6,27.3%,47,6.3%,
40+,18,2.6%,4,10.0%,2,9.1%,24,3.2%,
Enrollment            1st Time in College,84,12.3%,,,,,84,11.3%,
Status                       1st Time Transfer,11,1.6%,,,,,11,1.5%,
Readmitted,5,.7%,,,,,5,.7%,
Continuing,582,85.3%,40,100.0%,22,100.0%,644,86.6%,
Tuition Status       Resident Tuition,551,80.8%,26,65.0%,8,36.4%,585,78.6%,
Non-Resident Tuition,124,18.2%,13,32.5%,5,22.7%,142,19.1%,
Tuition Exemption/Waiver,7,1.0%,1,2.5%,9,40.9%,17,2.3%,
Residency               Texas Resident,551,80.8%,26,65.0%,8,36.4%,585,78.6%,
"Status                       Non-TX, US Resident",125,18.3%,14,35.0%,6,27.3%,145,19.5%,
"Non-TX, Non-US Resident",6,.9%,,,8,36.4%,14,1.9%,
SCH Categories    < 6 SCH,323,47.4%,21,52.5%,4,18.2%,348,46.8%,
6-8 SCH,246,36.1%,12,30.0%,17,77.3%,275,37.0%,
9-11 SCH,59,8.7%,7,17.5%,,,66,8.9%,
12-14 SCH,32,4.7%,,,1,4.5%,33,4.4%,
15-17 SCH,17,2.5%,,,,,17,2.3%,
>17 SCH,5,.7%,,,,,5,.7%,
Ft/Pt:  TAMU         Less Than Half Time,94,13.8%,7,17.5%,2,9.1%,103,13.8%,
Status                       Half-Time,460,67.4%,14,35.0%,2,9.1%,476,64.0%,
Full-Time,128,18.8%,19,47.5%,18,81.8%,165,22.2%,
Top 10% Texas      No,622,91.2%,39,97.5%,22,100.0%,683,91.8%,
High School           Yes,60,8.8%,1,2.5%,,,61,8.2%,
First Generation  No,460,67.4%,28,70.0%,12,54.5%,500,67.2%,
Unknown,36,5.3%,6,15.0%,5,22.7%,47,6.3%,
Yes,186,27.3%,6,15.0%,5,22.7%,197,26.5%,
"Table 5    Prepared by DARS, 9/4/2013",,,,,,,,,
