Headcount by Department by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,,,,,
(College Station Campus),,,,,,,,,,,,,,,,,,,,,,
Summer 2013,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total,
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
G. Bush School  BUSH,19,49,,,2,1,3,2,4,11,,,2,1,3,3,,,33,67,100,
of Govt                 Subtotal,19,49,,,2,1,3,2,4,11,,,2,1,3,3,,,33,67,100,
Geosciences        ATMO,24,33,,,,,1,2,4,4,,,,,4,15,5,5,38,59,97,
CLGE,20,12,,,,2,,,1,3,,,,2,1,,,,22,19,41,
GEOG,24,38,,1,2,1,3,3,3,6,,,1,2,2,6,,,35,57,92,
GEPL,24,77,,,,4,1,,5,6,,,,4,11,17,,,41,108,149,
OCNG,16,4,1,,,,1,,1,1,,,,,8,13,,1,27,19,46,
Subtotal,108,164,1,1,2,7,6,5,14,20,,,1,8,26,51,5,6,163,262,425,
Liberal Arts        ANTH,29,18,1,,3,,1,,12,5,,,1,1,3,,1,,51,24,75,
CLLA,7,3,,,2,,,1,3,,,,,,,,,,12,4,16,
COMM,161,51,,,3,2,6,4,24,13,,,4,2,1,1,,,199,73,272,
ECON,35,143,,1,5,17,3,5,7,28,,,4,4,29,45,1,1,84,244,328,
ENGL,108,35,,,1,2,9,2,19,10,1,,5,2,4,3,2,,149,54,203,
HISP,6,5,,,,,,,15,8,,,,,2,7,,,23,20,43,
HIST,52,91,,1,3,2,4,3,11,19,,,2,2,,2,1,,73,120,193,
INTS,104,78,1,,7,3,4,1,42,22,,,2,6,1,,1,1,162,111,273,
PHUM,9,26,,,1,2,,1,2,6,,,1,1,,,,1,13,37,50,
POLS,59,92,,,6,8,9,4,15,36,,,3,3,,3,2,2,94,148,242,
PRFM,10,4,,,1,,2,2,1,2,,,,,,,,,14,8,22,
PSYC,261,86,,,17,7,24,9,67,21,,,7,,6,11,1,,383,134,517,
SOCI,73,39,,,1,3,12,15,35,15,,,3,2,1,2,,1,125,77,202,
Subtotal,914,671,2,2,50,46,74,47,253,185,1,,32,23,47,74,9,6,"1,382","1,054","2,436",
Science                BIOL,87,79,,1,17,18,7,6,33,29,1,,2,2,19,10,,,166,145,311,
CHEM,40,73,,1,8,9,2,3,14,13,,,1,1,40,79,10,6,115,185,300,
CLSC,4,1,,,,,,,,3,,,,,,,,,4,4,8,
MATH,39,58,,,4,2,3,3,9,15,,,2,1,26,54,,3,83,136,219,
PHYS,12,71,1,,,7,,5,3,10,,,2,6,7,76,6,7,31,182,213,
STAT,10,30,,,5,6,1,1,,2,,,1,,13,18,,2,30,59,89,
Subtotal,192,312,1,2,34,42,13,18,59,72,1,,8,10,105,237,16,18,429,711,"1,140",
Veterinary           CLVM,281,116,,,35,21,14,4,60,26,,,13,7,,2,6,,409,176,585,
Medicine             VIBS,22,11,,,,3,,,2,,,,1,,6,10,1,,32,24,56,
VLCS,8,3,,,,,,,1,,,,,,1,,,,10,3,13,
VSCS,1,2,,,,,,,,1,,,,,3,5,,,4,8,12,
VTPB,20,4,,,1,,1,1,2,1,,,1,,3,3,,,28,9,37,
VTPP,6,3,,,,2,,,,1,,,1,,4,4,,,11,10,21,
Subtotal,338,139,,,36,26,15,5,65,29,,,16,7,17,24,7,,494,230,724,
General                GEST,248,240,2,,25,10,6,8,81,73,,,7,6,,2,,1,369,340,709,
Studies                Subtotal,248,240,2,,25,10,6,8,81,73,,,7,6,,2,,1,369,340,709,
Other - Special   CLMD,1,,,,,1,,,,,,,,,,,,,1,1,2,
Populations        MARB,,,,,1,,,,1,,,,,,,,,,2,,2,
MARS,1,2,,,,,,,,,,,,,,,,,1,2,3,
MART,,,,,,,,,,1,,,,,,,,,,1,1,
MASE,,2,,,,,,,,,,,,,,,,,,2,2,
SABX,,1,,,,,,,,,,,,,2,2,1,,3,3,6,
SRPH,5,2,,,2,,,,,1,,,,,3,1,,,10,4,14,
Subtotal,7,7,,,3,1,,,1,2,,,,,5,3,1,,17,13,30,
Total,"5,188","5,435",24,17,326,416,341,333,"1,211","1,231",5,9,164,161,738,"1,663",82,94,"8,079","9,359","17,438",
"Prepared by DARS, 05 Sep 13",,,,,,,,,,,,,,,,,,,,,,
