Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,
College Architecture,,,,,,,,,,,,,,,,,,,,,,
Summer 2013,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,3,13,16,,,,,,,1,2,3,,,,,,,4,15,19,
"TAMU Age              18-21
Categories",2,13,15,,,,,,,1,2,3,,,,,,,3,15,18,
22-25,1,,1,,,,,,,,,,,,,,,,1,,1,
26-30,,,,,,,,,,,,,,,,,,,,,,
31-39,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,,,,,,,,,
"Classification/De   Freshman
gree Objective",,1,1,,,,,,,,,,,,,,,,,1,1,
Sophomore,3,10,13,,,,,,,,2,2,,,,,,,3,12,15,
Junior,,1,1,,,,,,,1,,1,,,,,,,1,1,2,
Senior,,1,1,,,,,,,,,,,,,,,,,1,1,
Tuition Status         Resident Tuition,2,13,15,,,,,,,1,2,3,,,,,,,3,15,18,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,
Tuition Exemption/Waiver,1,,1,,,,,,,,,,,,,,,,1,,1,
Residency Status    Texas Resident,2,13,15,,,,,,,1,2,3,,,,,,,3,15,18,
"Non-TX, US Resident",1,,1,,,,,,,,,,,,,,,,1,,1,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,
SCH Categories      < 6 SCH,,6,6,,,,,,,,1,1,,,,,,,,7,7,
6-8 SCH,1,7,8,,,,,,,1,,1,,,,,,,2,7,9,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,2,,2,,,,,,,,1,1,,,,,,,2,1,3,
"Ft/Pt:  TAMU         Less Than Half Time
Status",,5,5,,,,,,,,1,1,,,,,,,,6,6,
Half-Time,1,7,8,,,,,,,1,,1,,,,,,,2,7,9,
Full-Time,2,1,3,,,,,,,,1,1,,,,,,,2,2,4,
"Top 10% Texas       No
High School",3,12,15,,,,,,,,1,1,,,,,,,3,13,16,
Yes,,1,1,,,,,,,1,1,2,,,,,,,1,2,3,
First Generation    No,3,9,12,,,,,,,,,,,,,,,,3,9,12,
Unknown,,1,1,,,,,,,,,,,,,,,,,1,1,
Yes,,3,3,,,,,,,1,2,3,,,,,,,1,5,6,
"Dorm / Off-             Off-campus
campus students",2,13,15,,,,,,,1,2,3,,,,,,,3,15,18,
Dorm (On-campus),1,,1,,,,,,,,,,,,,,,,1,,1,
