Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,
College Agriculture,,,,,,,,,,,,,,,,,,,,,,
Summer 2013,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,13,23,36,,,,1,,1,,5,5,1,2,3,,1,1,15,31,46,
"TAMU Age              18-21
Categories",11,11,22,,,,1,,1,,1,1,1,2,3,,1,1,13,15,28,
22-25,,9,9,,,,,,,,3,3,,,,,,,,12,12,
26-30,1,2,3,,,,,,,,1,1,,,,,,,1,3,4,
31-39,,1,1,,,,,,,,,,,,,,,,,1,1,
40+,1,,1,,,,,,,,,,,,,,,,1,,1,
"Classification/De   Freshman
gree Objective",,2,2,,,,,,,,,,,,,,,,,2,2,
Sophomore,6,12,18,,,,,,,,,,,2,2,,,,6,14,20,
Junior,7,9,16,,,,1,,1,,5,5,1,,1,,1,1,9,15,24,
Senior,,,,,,,,,,,,,,,,,,,,,,
Tuition Status         Resident Tuition,13,21,34,,,,,,,,5,5,1,2,3,,,,14,28,42,
Non-Resident Tuition,,2,2,,,,1,,1,,,,,,,,1,1,1,3,4,
Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
Residency Status    Texas Resident,13,21,34,,,,,,,,5,5,1,2,3,,,,14,28,42,
"Non-TX, US Resident",,2,2,,,,1,,1,,,,,,,,,,1,2,3,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,1,1,,1,1,
SCH Categories      < 6 SCH,7,17,24,,,,,,,,3,3,1,1,2,,,,8,21,29,
6-8 SCH,6,4,10,,,,1,,1,,2,2,,,,,1,1,7,7,14,
9-11 SCH,,1,1,,,,,,,,,,,,,,,,,1,1,
12-14 SCH,,1,1,,,,,,,,,,,1,1,,,,,2,2,
"Ft/Pt:  TAMU         Less Than Half Time
Status",7,15,22,,,,,,,,3,3,,1,1,,,,7,19,26,
Half-Time,6,6,12,,,,1,,1,,2,2,1,,1,,,,8,8,16,
Full-Time,,2,2,,,,,,,,,,,1,1,,1,1,,4,4,
"Top 10% Texas       No
High School",12,22,34,,,,1,,1,,5,5,1,2,3,,1,1,14,30,44,
Yes,1,1,2,,,,,,,,,,,,,,,,1,1,2,
First Generation    No,7,16,23,,,,,,,,3,3,1,2,3,,,,8,21,29,
Unknown,,,,,,,1,,1,,,,,,,,1,1,1,1,2,
Yes,6,7,13,,,,,,,,2,2,,,,,,,6,9,15,
"Dorm / Off-             Off-campus
campus students",13,23,36,,,,1,,1,,5,5,1,2,3,,1,1,15,31,46,
Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 06 Sep 13",,,,,,,,,,,,,,,,,,,,,,
