Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,
College Veterinary Medicine,,,,,,,,,,,
Summer 2013,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                Total,414,100.0%,64,100.0%,92,100.0%,154,100.0%,724,100.0%,
Female,284,68.6%,39,60.9%,56,60.9%,115,74.7%,494,68.2%,
Male,130,31.4%,25,39.1%,36,39.1%,39,25.3%,230,31.8%,
Ethnicity             White Only (NEW),248,59.9%,43,67.2%,47,51.1%,139,90.3%,477,65.9%,
American Indian Only (NEW),,,,,,,,,,,
Asian Only (NEW),54,13.0%,3,4.7%,3,3.3%,2,1.3%,62,8.6%,
Black Only + 2 or more/1 Black (NEW),17,4.1%,2,3.1%,1,1.1%,,,20,2.8%,
Hispanic or Latino of any Race (NEW),75,18.1%,8,12.5%,4,4.3%,7,4.5%,94,13.0%,
Native Hawaii Only (New),,,,,,,,,,,
2 or More/Excluding Black (NEW),18,4.3%,4,6.3%,1,1.1%,,,23,3.2%,
International,2,.5%,4,6.3%,35,38.0%,,,41,5.7%,
Unknown or Not Reported,,,,,1,1.1%,6,3.9%,7,1.0%,
TAMU Age         <18,,,,,,,,,,,
Categories          18-21,287,69.3%,1,1.6%,,,,,288,39.8%,
22-25,124,30.0%,43,67.2%,14,15.2%,68,44.2%,249,34.4%,
26-30,3,.7%,11,17.2%,38,41.3%,74,48.1%,126,17.4%,
31-39,,,9,14.1%,37,40.2%,10,6.5%,56,7.7%,
40+,,,,,3,3.3%,2,1.3%,5,.7%,
Enrollment         1st Time in College,1,.2%,,,,,,,1,.1%,
Status                  1st Time Transfer,,,,,,,,,,,
1st Time Graduate,,,12,18.8%,5,5.4%,,,17,2.3%,
Readmitted,1,.2%,1,1.6%,,,,,2,.3%,
Continuing,412,99.5%,51,79.7%,87,94.6%,154,100.0%,704,97.2%,
Tuition Status    Resident Tuition,403,97.3%,51,79.7%,30,32.6%,142,92.2%,626,86.5%,
Non-Resident Tuition,7,1.7%,6,9.4%,2,2.2%,,,15,2.1%,
Tuition Exemption/Waiver,4,1.0%,7,10.9%,60,65.2%,12,7.8%,83,11.5%,
Residency           Texas Resident,404,97.6%,51,79.7%,33,35.9%,143,92.9%,631,87.2%,
"Status                  Non-TX, US Resident",8,1.9%,9,14.1%,24,26.1%,11,7.1%,52,7.2%,
"Non-TX, Non-US Resident",2,.5%,4,6.3%,35,38.0%,,,41,5.7%,
SCH                     < 6 SCH,214,51.7%,20,31.3%,16,17.4%,19,12.3%,269,37.2%,
Categories          6-8 SCH,149,36.0%,35,54.7%,73,79.3%,135,87.7%,392,54.1%,
9-11 SCH,37,8.9%,5,7.8%,3,3.3%,,,45,6.2%,
12-14 SCH,13,3.1%,4,6.3%,,,,,17,2.3%,
15-17 SCH,1,.2%,,,,,,,1,.1%,
>17 SCH,,,,,,,,,,,
Ft/Pt:  TAMU    Less Than Half Time,81,19.6%,8,12.5%,9,9.8%,,,98,13.5%,
Status                  Half-Time,254,61.4%,12,18.8%,7,7.6%,19,12.3%,292,40.3%,
Full-Time,79,19.1%,44,68.8%,76,82.6%,135,87.7%,334,46.1%,
Top 10% Texas  No,146,35.3%,59,92.2%,88,95.7%,149,96.8%,442,61.0%,
High School       Yes,268,64.7%,5,7.8%,4,4.3%,5,3.2%,282,39.0%,
First                     No,305,73.7%,40,62.5%,55,59.8%,9,5.8%,409,56.5%,
Generation         Unknown,9,2.2%,5,7.8%,19,20.7%,139,90.3%,172,23.8%,
Yes,100,24.2%,19,29.7%,18,19.6%,6,3.9%,143,19.8%,
"Table 7     Prepared by DARS, 9/5/2013",,,,,,,,,,,
