Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,
College Education,,,,,,,,,,,,,,,,,,,,,,,
Summer 2013,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,Grand Total,,,
,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,1,6,7,,,,,,2,10,12,1,1,2,,1,1,,,4,18,22,
"TAMU Age              18-21
Categories",1,6,7,,,,,,2,10,12,1,1,2,,1,1,,,4,18,22,
22-25,,,,,,,,,,,,,,,,,,,,,,,
"Classification/De   Freshman
gree Objective",1,6,7,,,,,,2,10,12,1,1,2,,1,1,,,4,18,22,
Sophomore,,,,,,,,,,,,,,,,,,,,,,,
Junior,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status         Resident Tuition,,6,6,,,,,,2,7,9,,1,1,,,,,,2,14,16,
Non-Resident Tuition,1,,1,,,,,,,3,3,1,,1,,1,1,,,2,4,6,
Residency Status    Texas Resident,,6,6,,,,,,2,7,9,,1,1,,,,,,2,14,16,
"Non-TX, US Resident",1,,1,,,,,,,3,3,1,,1,,1,1,,,2,4,6,
"Non-TX, Non-US
Resident",,,,,,,,,,,,,,,,,,,,,,,
SCH Categories      < 6 SCH,,1,1,,,,,,,,,,,,,,,,,,1,1,
6-8 SCH,1,5,6,,,,,,2,10,12,1,1,2,,1,1,,,4,17,21,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,,,,,,,,,,,,,,,,,,,,,,,
"Ft/Pt:  TAMU         Less Than Half Time
Status",,1,1,,,,,,,,,,,,,,,,,,1,1,
Half-Time,1,5,6,,,,,,2,10,12,1,1,2,,1,1,,,4,17,21,
Full-Time,,,,,,,,,,,,,,,,,,,,,,,
"Top 10% Texas       No
High School",,5,5,,,,,,2,10,12,1,1,2,,1,1,,,3,17,20,
Yes,1,1,2,,,,,,,,,,,,,,,,,1,1,2,
First Generation    No,1,6,7,,,,,,1,3,4,1,1,2,,,,,,3,10,13,
Unknown,,,,,,,,,,3,3,,,,,,,,,,3,3,
Yes,,,,,,,,,1,4,5,,,,,1,1,,,1,5,6,
"Dorm / Off-             Off-campus
campus students",1,5,6,,,,,,2,10,12,1,1,2,,1,1,,,4,17,21,
Dorm (On-campus),,1,1,,,,,,,,,,,,,,,,,,1,1,
"Prepared by DARS, 06 Sep 13",,,,,,,,,,,,,,,,,,,,,,,
