Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,
College Science,,,,,,,,,,,,,,,,,,,,,,
Summer 2013,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,1,3,4,,,,,,,,,,,,,1,1,2,2,4,6,
"TAMU Age              18-21
Categories",1,2,3,,,,,,,,,,,,,1,1,2,2,3,5,
22-25,,1,1,,,,,,,,,,,,,,,,,1,1,
26-30,,,,,,,,,,,,,,,,,,,,,,
31-39,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,,,,,,,,,
"Classification/De   Freshman
gree Objective",,,,,,,,,,,,,,,,,,,,,,
Sophomore,1,,1,,,,,,,,,,,,,1,,1,2,,2,
Junior,,2,2,,,,,,,,,,,,,,1,1,,3,3,
Senior,,1,1,,,,,,,,,,,,,,,,,1,1,
Tuition Status         Resident Tuition,1,3,4,,,,,,,,,,,,,,,,1,3,4,
Non-Resident Tuition,,,,,,,,,,,,,,,,1,1,2,1,1,2,
Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
Residency Status    Texas Resident,1,3,4,,,,,,,,,,,,,,,,1,3,4,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,1,1,2,1,1,2,
SCH Categories      < 6 SCH,,1,1,,,,,,,,,,,,,,,,,1,1,
6-8 SCH,1,2,3,,,,,,,,,,,,,,,,1,2,3,
9-11 SCH,,,,,,,,,,,,,,,,1,1,2,1,1,2,
12-14 SCH,,,,,,,,,,,,,,,,,,,,,,
"Ft/Pt:  TAMU         Less Than Half Time
Status",,1,1,,,,,,,,,,,,,,,,,1,1,
Half-Time,1,2,3,,,,,,,,,,,,,,,,1,2,3,
Full-Time,,,,,,,,,,,,,,,,1,1,2,1,1,2,
"Top 10% Texas       No
High School",,3,3,,,,,,,,,,,,,1,1,2,1,4,5,
Yes,1,,1,,,,,,,,,,,,,,,,1,,1,
First Generation    No,1,2,3,,,,,,,,,,,,,,,,1,2,3,
Unknown,,1,1,,,,,,,,,,,,,1,1,2,1,2,3,
Yes,,,,,,,,,,,,,,,,,,,,,,
"Dorm / Off-             Off-campus
campus students",1,3,4,,,,,,,,,,,,,1,1,2,2,4,6,
Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 06 Sep 13",,,,,,,,,,,,,,,,,,,,,,
