Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,
College Liberal Arts,,,,,,,,,,,
Summer 2013,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                Total,"2,061",100.0%,94,100.0%,281,100.0%,,,"2,436",100.0%,
Female,"1,196",58.0%,44,46.8%,142,50.5%,,,"1,382",56.7%,
Male,865,42.0%,50,53.2%,139,49.5%,,,"1,054",43.3%,
Ethnicity             White Only (NEW),"1,415",68.7%,24,25.5%,146,52.0%,,,"1,585",65.1%,
American Indian Only (NEW),3,.1%,,,1,.4%,,,4,.2%,
Asian Only (NEW),83,4.0%,2,2.1%,11,3.9%,,,96,3.9%,
Black Only + 2 or more/1 Black (NEW),102,4.9%,3,3.2%,16,5.7%,,,121,5.0%,
Hispanic or Latino of any Race (NEW),385,18.7%,9,9.6%,44,15.7%,,,438,18.0%,
Native Hawaii Only (New),1,.0%,,,,,,,1,.0%,
2 or More/Excluding Black (NEW),49,2.4%,2,2.1%,4,1.4%,,,55,2.3%,
International,14,.7%,53,56.4%,54,19.2%,,,121,5.0%,
Unknown or Not Reported,9,.4%,1,1.1%,5,1.8%,,,15,.6%,
TAMU Age         <18,,,,,,,,,,,
Categories          18-21,"1,105",53.6%,1,1.1%,,,,,"1,106",45.4%,
22-25,876,42.5%,62,66.0%,45,16.0%,,,983,40.4%,
26-30,54,2.6%,21,22.3%,127,45.2%,,,202,8.3%,
31-39,16,.8%,6,6.4%,89,31.7%,,,111,4.6%,
40+,10,.5%,4,4.3%,20,7.1%,,,34,1.4%,
Enrollment         1st Time in College,6,.3%,,,,,,,6,.2%,
Status                  1st Time Transfer,29,1.4%,,,,,,,29,1.2%,
1st Time Graduate,,,,,4,1.4%,,,4,.2%,
Readmitted,26,1.3%,,,,,,,26,1.1%,
Continuing,"2,000",97.0%,94,100.0%,277,98.6%,,,"2,371",97.3%,
Tuition Status    Resident Tuition,"1,985",96.3%,22,23.4%,88,31.3%,,,"2,095",86.0%,
Non-Resident Tuition,34,1.6%,57,60.6%,30,10.7%,,,121,5.0%,
Tuition Exemption/Waiver,42,2.0%,15,16.0%,163,58.0%,,,220,9.0%,
Residency           Texas Resident,"1,989",96.5%,22,23.4%,94,33.5%,,,"2,105",86.4%,
"Status                  Non-TX, US Resident",59,2.9%,19,20.2%,132,47.0%,,,210,8.6%,
"Non-TX, Non-US Resident",13,.6%,53,56.4%,55,19.6%,,,121,5.0%,
SCH                     < 6 SCH,706,34.3%,33,35.1%,140,49.8%,,,879,36.1%,
Categories          6-8 SCH,784,38.0%,55,58.5%,136,48.4%,,,975,40.0%,
9-11 SCH,300,14.6%,6,6.4%,5,1.8%,,,311,12.8%,
12-14 SCH,263,12.8%,,,,,,,263,10.8%,
15-17 SCH,5,.2%,,,,,,,5,.2%,
>17 SCH,3,.1%,,,,,,,3,.1%,
Ft/Pt:  TAMU    Less Than Half Time,590,28.6%,11,11.7%,44,15.7%,,,645,26.5%,
Status                  Half-Time,861,41.8%,23,24.5%,98,34.9%,,,982,40.3%,
Full-Time,610,29.6%,60,63.8%,139,49.5%,,,809,33.2%,
Top 10% Texas  No,"1,448",70.3%,94,100.0%,274,97.5%,,,"1,816",74.5%,
High School       Yes,613,29.7%,,,7,2.5%,,,620,25.5%,
First                     No,"1,450",70.4%,21,22.3%,166,59.1%,,,"1,637",67.2%,
Generation         Unknown,55,2.7%,54,57.4%,42,14.9%,,,151,6.2%,
Yes,556,27.0%,19,20.2%,73,26.0%,,,648,26.6%,
"Table 7     Prepared by DARS, 9/5/2013",,,,,,,,,,,
