Demographic Summary by Degree Objective,,,,
Graduate Students (College Station Campus),,,,
Summer 2013,Student Degree Objective,,Grand Total,
,Masters,Doctoral,,
Head Count            Total,"2,452","2,990","5,442",
Gender                     Female,"1,099","1,134","2,233",
Male,"1,353","1,856","3,209",
Ethnicity                  White Only (NEW),"1,315","1,043","2,358",
American Indian Only (NEW),4,6,10,
Asian Only (NEW),98,86,184,
Black Only + 2 or more/1 Black (NEW),76,125,201,
Hispanic or Latino of any Race (NEW),216,220,436,
2 or More/Excluding Black (NEW),32,28,60,
International,685,"1,458","2,143",
Unknown or Not Reported,26,24,50,
TAMU Age              <18,,1,1,
Categories               18-21,22,1,23,
22-25,"1,271",506,"1,777",
26-30,710,"1,419","2,129",
31-39,322,821,"1,143",
40+,127,242,369,
College                     Agriculture,301,450,751,
Architecture,164,23,187,
Business Admin,455,65,520,
Education,432,429,861,
Engineering,654,"1,000","1,654",
G. Bush School of Govt,100,,100,
Geosciences,63,110,173,
Liberal Arts,94,281,375,
Science,107,540,647,
Veterinary Medicine,64,92,156,
Other - Special Populations,18,,18,
Enrollment             1st Time Graduate,463,59,522,
Status                       Readmitted,9,1,10,
Continuing,"1,980","2,930","4,910",
Tuition Status        Resident Tuition,"1,501",886,"2,387",
Non-Resident Tuition,549,318,867,
Tuition Exemption/Waiver,402,"1,786","2,188",
Residency Status   Texas Resident,"1,527",931,"2,458",
"Non-TX, US Resident",236,591,827,
"Non-TX, Non-US Resident",689,"1,468","2,157",
SCH Categories      < 6 SCH,"1,130",737,"1,867",
6-8 SCH,924,"2,158","3,082",
9-11 SCH,255,78,333,
12-14 SCH,136,17,153,
15-17 SCH,7,,7,
Ft/Pt:  TAMU         Less Than Half Time,393,415,808,
Status                       Half-Time,747,329,"1,076",
Full-Time,"1,312","2,246","3,558",
"Table 9     Prepared by DARS, 05 Sep 13",,,,
Page 20,,,,
