Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,
College Liberal Arts,,,,,,,,,,,,,,,,,,,,,,,
Summer 2013,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,Grand Total,,,
,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,1,1,2,,,,,,,1,1,,2,2,,,,1,1,1,5,6,
"TAMU Age              18-21
Categories",1,1,2,,,,,,,1,1,,2,2,,,,1,1,1,5,6,
22-25,,,,,,,,,,,,,,,,,,,,,,,
"Classification/De   Freshman
gree Objective",1,1,2,,,,,,,1,1,,2,2,,,,1,1,1,5,6,
Sophomore,,,,,,,,,,,,,,,,,,,,,,,
Junior,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status         Resident Tuition,,1,1,,,,,,,1,1,,1,1,,,,,,,3,3,
Non-Resident Tuition,1,,1,,,,,,,,,,1,1,,,,1,1,1,2,3,
Residency Status    Texas Resident,,1,1,,,,,,,1,1,,1,1,,,,,,,3,3,
"Non-TX, US Resident",1,,1,,,,,,,,,,1,1,,,,,,1,1,2,
"Non-TX, Non-US
Resident",,,,,,,,,,,,,,,,,,1,1,,1,1,
SCH Categories      < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,1,,1,,,,,,,1,1,,2,2,,,,1,1,1,4,5,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,,1,1,,,,,,,,,,,,,,,,,,1,1,
"Ft/Pt:  TAMU         Less Than Half Time
Status",,,,,,,,,,,,,,,,,,,,,,,
Half-Time,1,,1,,,,,,,1,1,,2,2,,,,,,1,3,4,
Full-Time,,1,1,,,,,,,,,,,,,,,1,1,,2,2,
"Top 10% Texas       No
High School",,1,1,,,,,,,1,1,,2,2,,,,1,1,,5,5,
Yes,1,,1,,,,,,,,,,,,,,,,,1,,1,
First Generation    No,1,,1,,,,,,,1,1,,1,1,,,,,,1,2,3,
Unknown,,,,,,,,,,,,,,,,,,1,1,,1,1,
Yes,,1,1,,,,,,,,,,1,1,,,,,,,2,2,
"Dorm / Off-             Off-campus
campus students",1,1,2,,,,,,,1,1,,2,2,,,,1,1,1,5,6,
Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 06 Sep 13",,,,,,,,,,,,,,,,,,,,,,,
